seq,batch,collection,id,group,unit
55,2,terms,sign-chart,微積分:微分,jp-suugaku-2-bibun-no-kangae
56,2,terms,point-of-tangency,微積分:微分,jp-suugaku-2-bibun-no-kangae
57,2,terms,rate-of-change,微積分:微分,jp-suugaku-2-bibun-no-kangae
58,2,terms,average-rate-of-change,微積分:微分,jp-suugaku-2-bibun-no-kangae
59,2,terms,derivative,微積分:微分,jp-suugaku-2-bibun-no-kangae
60,2,terms,differentiation,微積分:微分,jp-suugaku-2-bibun-no-kangae
61,2,terms,differentiate,微積分:微分,jp-suugaku-2-bibun-no-kangae
62,2,terms,slope-of-the-tangent-line,微積分:微分,jp-suugaku-2-bibun-no-kangae
63,2,terms,normal-line,微積分:微分,jp-suugaku-2-bibun-no-kangae
64,2,terms,increasing-and-decreasing,微積分:微分,jp-suugaku-2-bibun-no-kangae
65,2,terms,local-extremum,微積分:微分,jp-suugaku-2-bibun-no-kangae
66,2,terms,local-maximum,微積分:微分,jp-suugaku-2-bibun-no-kangae
67,2,terms,local-minimum,微積分:微分,jp-suugaku-2-bibun-no-kangae
68,2,terms,first-derivative-test,微積分:微分,jp-suugaku-2-bibun-no-kangae
69,2,terms,number-of-real-solutions,微積分:微分,jp-suugaku-2-bibun-no-kangae
70,2,terms,instantaneous-velocity,微積分:微分,jp-suugaku-2-bibun-no-kangae
71,2,terms,find-the-derivative-at,微積分:微分,jp-suugaku-2-bibun-no-kangae
72,2,terms,find-the-equation-of-the-tangent-line,微積分:微分,jp-suugaku-2-bibun-no-kangae
73,2,terms,determine-where-the-function-is-increasing-and-decreasing,微積分:微分,jp-suugaku-2-bibun-no-kangae
74,2,terms,find-the-local-extrema,微積分:微分,jp-suugaku-2-bibun-no-kangae
75,2,terms,make-a-sign-chart,微積分:微分,jp-suugaku-2-bibun-no-kangae
76,2,terms,sketch-the-graph,微積分:微分,jp-suugaku-2-bibun-no-kangae
77,2,terms,has-a-local-maximum-at,微積分:微分,jp-suugaku-2-bibun-no-kangae
78,2,terms,critical-point,微積分:微分,jp-suugaku-2-bibun-no-kangae
79,2,terms,differentiable,微積分:微分,jp-suugaku-2-bibun-no-kangae
80,2,terms,derivative-of-a-sum,微積分:微分,jp-suugaku-2-bibun-no-kangae
81,2,terms,power-rule,微積分:微分,jp-suugaku-2-bibun-no-kangae
82,2,terms,changes-sign,微積分:微分,jp-suugaku-2-bibun-no-kangae
83,2,terms,is-monotonically-increasing,微積分:微分,jp-suugaku-2-bibun-no-kangae
84,2,terms,constant-multiple-rule,微積分:微分,jp-suugaku-2-bibun-no-kangae
85,2,terms,optimization-problem,微積分:微分,jp-suugaku-2-bibun-no-kangae
86,2,terms,cubic-function,微積分:微分,jp-suugaku-2-bibun-no-kangae
87,2,terms,parameter,微積分:微分,jp-suugaku-3-bibun
88,2,terms,differentiability,微積分:微分,jp-suugaku-3-bibun
89,2,terms,product-rule,微積分:微分,jp-suugaku-3-bibun
90,2,terms,quotient-rule,微積分:微分,jp-suugaku-3-bibun
91,2,terms,chain-rule,微積分:微分,jp-suugaku-3-bibun
92,2,terms,derivative-of-an-inverse-function,微積分:微分,jp-suugaku-3-bibun
93,2,terms,implicit-function,微積分:微分,jp-suugaku-3-bibun
94,2,terms,implicit-differentiation,微積分:微分,jp-suugaku-3-bibun
95,2,terms,parametric-equations,微積分:微分,jp-suugaku-3-bibun
96,2,terms,derivative-of-a-parametric-curve,微積分:微分,jp-suugaku-3-bibun
97,2,terms,derivatives-of-trigonometric-functions,微積分:微分,jp-suugaku-3-bibun
98,2,terms,derivative-of-the-exponential-function,微積分:微分,jp-suugaku-3-bibun
99,2,terms,derivative-of-the-logarithm,微積分:微分,jp-suugaku-3-bibun
100,2,terms,logarithmic-differentiation,微積分:微分,jp-suugaku-3-bibun
101,3,terms,higher-order-derivative,微積分:微分,jp-suugaku-3-bibun
102,3,terms,second-derivative,微積分:微分,jp-suugaku-3-bibun
103,3,terms,nth-derivative,微積分:微分,jp-suugaku-3-bibun
104,3,terms,mean-value-theorem,微積分:微分,jp-suugaku-3-bibun
105,3,terms,rolles-theorem,微積分:微分,jp-suugaku-3-bibun
106,3,terms,concavity,微積分:微分,jp-suugaku-3-bibun
107,3,terms,inflection-point,微積分:微分,jp-suugaku-3-bibun
108,3,terms,absolute-extrema,微積分:微分,jp-suugaku-3-bibun
109,3,terms,velocity,微積分:微分,jp-suugaku-3-bibun
110,3,terms,acceleration,微積分:微分,jp-suugaku-3-bibun
111,3,terms,linear-approximation,微積分:微分,jp-suugaku-3-bibun
112,3,terms,small-change,微積分:微分,jp-suugaku-3-bibun
113,3,terms,differential,微積分:微分,jp-suugaku-3-bibun
114,3,terms,leibniz-notation,微積分:微分,jp-suugaku-3-bibun
115,3,terms,prime-notation,微積分:微分,jp-suugaku-3-bibun
116,3,terms,differentiate-twice,微積分:微分,jp-suugaku-3-bibun
117,3,terms,check-the-concavity,微積分:微分,jp-suugaku-3-bibun
118,3,terms,find-the-inflection-points,微積分:微分,jp-suugaku-3-bibun
119,3,terms,has-a-local-extremum,微積分:微分,jp-suugaku-3-bibun
120,3,terms,not-differentiable,微積分:微分,jp-suugaku-3-bibun
121,3,terms,cusp,微積分:微分,jp-suugaku-3-bibun
122,3,terms,differentiate-both-sides,微積分:微分,jp-suugaku-3-bibun
123,3,terms,limit-definition-of-the-derivative,微積分:微分,us-ap-calculus-ab-2-differentiation-basics
124,3,terms,instantaneous-rate-of-change,微積分:微分,us-ap-calculus-ab-2-differentiation-basics
125,3,terms,corner-nondifferentiable,微積分:微分,us-ap-calculus-ab-2-differentiation-basics
126,3,terms,vertical-tangent,微積分:微分,us-ap-calculus-ab-2-differentiation-basics
127,3,terms,natural-logarithm,微積分:微分,us-ap-calculus-ab-2-differentiation-basics
128,3,terms,secant-line,微積分:微分,us-ap-calculus-ab-2-differentiation-basics
129,3,terms,derivatives-of-inverse-trig-functions,微積分:微分,us-ap-calculus-ab-3-differentiation-advanced
130,3,terms,outer-function,微積分:微分,us-ap-calculus-ab-3-differentiation-advanced
131,3,terms,inner-function,微積分:微分,us-ap-calculus-ab-3-differentiation-advanced
132,3,terms,solve-for-y-prime,微積分:微分,us-ap-calculus-ab-3-differentiation-advanced
133,3,terms,arccosine,微積分:微分,us-ap-calculus-ab-3-differentiation-advanced
134,3,terms,arcsine,微積分:微分,us-ap-calculus-ab-3-differentiation-advanced
135,3,terms,arctangent,微積分:微分,us-ap-calculus-ab-3-differentiation-advanced
136,3,terms,inverse-trigonometric-function,微積分:微分,us-ap-calculus-ab-3-differentiation-advanced
137,3,terms,related-rates,微積分:微分,us-ap-calculus-ab-4-contextual-applications
138,3,terms,lhopitals-rule,微積分:微分,us-ap-calculus-ab-4-contextual-applications
139,3,terms,rectilinear-motion,微積分:微分,us-ap-calculus-ab-4-contextual-applications
140,3,terms,second-derivative-test,微積分:微分,us-ap-calculus-ab-5-analytical-applications
141,3,terms,candidates-test,微積分:微分,us-ap-calculus-ab-5-analytical-applications
142,3,terms,curve-sketching,微積分:微分,us-ap-calculus-ab-5-analytical-applications
143,3,terms,newtons-method,微積分:微分,us-calculus-1-applications-of-derivatives
144,3,terms,constraint,微積分:微分,us-calculus-1-applications-of-derivatives
145,3,terms,decreasing,微積分:微分,us-calculus-1-applications-of-derivatives
146,3,terms,sketch,微積分:微分,us-calculus-1-applications-of-derivatives
147,3,terms,test-point,微積分:微分,us-calculus-1-applications-of-derivatives
148,3,terms,indefinite-integral,微積分:微分,us-calculus-1-applications-of-derivatives
149,3,terms,constant-of-integration,微積分:微分,us-calculus-1-applications-of-derivatives
150,3,terms,find-an-antiderivative,微積分:微分,us-calculus-1-applications-of-derivatives
151,4,terms,reverse-of-differentiation,微積分:微分,us-calculus-1-applications-of-derivatives
152,4,terms,antiderivative,微積分:積分,jp-suugaku-2-sekibun-no-kangae
153,4,terms,definite-integral,微積分:積分,jp-suugaku-2-sekibun-no-kangae
154,4,terms,integration,微積分:積分,jp-suugaku-2-sekibun-no-kangae
155,4,terms,integrate,微積分:積分,jp-suugaku-2-sekibun-no-kangae
156,4,terms,integrand,微積分:積分,jp-suugaku-2-sekibun-no-kangae
157,4,terms,interval-of-integration,微積分:積分,jp-suugaku-2-sekibun-no-kangae
158,4,terms,upper-limit,微積分:積分,jp-suugaku-2-sekibun-no-kangae
159,4,terms,lower-limit,微積分:積分,jp-suugaku-2-sekibun-no-kangae
160,4,terms,area-between-two-curves,微積分:積分,jp-suugaku-2-sekibun-no-kangae
161,4,terms,fundamental-theorem-of-calculus,微積分:積分,jp-suugaku-2-sekibun-no-kangae
162,4,terms,properties-of-integrals,微積分:積分,jp-suugaku-2-sekibun-no-kangae
163,4,terms,integrals-of-even-and-odd-functions,微積分:積分,jp-suugaku-2-sekibun-no-kangae
164,4,terms,one-sixth-formula,微積分:積分,jp-suugaku-2-sekibun-no-kangae
165,4,terms,accumulation-function,微積分:積分,jp-suugaku-2-sekibun-no-kangae
166,4,terms,evaluate-the-integral,微積分:積分,jp-suugaku-2-sekibun-no-kangae
167,4,terms,integral-involving-absolute-value,微積分:積分,jp-suugaku-2-sekibun-no-kangae
168,4,terms,below-the-x-axis,微積分:積分,jp-suugaku-2-sekibun-no-kangae
169,4,terms,integration-by-substitution,微積分:積分,jp-suugaku-3-sekibun
170,4,terms,integration-by-parts,微積分:積分,jp-suugaku-3-sekibun
171,4,terms,trigonometric-integrals,微積分:積分,jp-suugaku-3-sekibun
172,4,terms,integration-formulas,微積分:積分,jp-suugaku-3-sekibun
173,4,terms,partial-fraction-decomposition,微積分:積分,jp-suugaku-3-sekibun
174,4,terms,trigonometric-substitution,微積分:積分,jp-suugaku-3-sekibun
175,4,terms,substitution-in-a-definite-integral,微積分:積分,jp-suugaku-3-sekibun
176,4,terms,riemann-sum,微積分:積分,jp-suugaku-3-sekibun
177,4,terms,limit-of-a-riemann-sum,微積分:積分,jp-suugaku-3-sekibun
178,4,terms,volume-of-a-solid-of-revolution,微積分:積分,jp-suugaku-3-sekibun
179,4,terms,cross-sectional-area,微積分:積分,jp-suugaku-3-sekibun
180,4,terms,volume-by-cross-sections,微積分:積分,jp-suugaku-3-sekibun
181,4,terms,displacement,微積分:積分,jp-suugaku-3-sekibun
182,4,terms,differential-equation,微積分:積分,jp-suugaku-3-sekibun
183,4,terms,separable-differential-equation,微積分:積分,jp-suugaku-3-sekibun
184,4,terms,variable-of-integration,微積分:積分,jp-suugaku-3-sekibun
185,4,terms,let-u-equal,微積分:積分,jp-suugaku-3-sekibun
186,4,terms,write-dx-in-terms-of-du,微積分:積分,jp-suugaku-3-sekibun
187,4,terms,change-the-limits-of-integration,微積分:積分,jp-suugaku-3-sekibun
188,4,terms,integrate-by-parts,微積分:積分,jp-suugaku-3-sekibun
189,4,terms,which-one-to-differentiate,微積分:積分,jp-suugaku-3-sekibun
190,4,terms,decompose-into-partial-fractions,微積分:積分,jp-suugaku-3-sekibun
191,4,terms,revolve-around-the-x-axis,微積分:積分,jp-suugaku-3-sekibun
192,4,terms,revolve-around-the-y-axis,微積分:積分,jp-suugaku-3-sekibun
193,4,terms,disk,微積分:積分,jp-suugaku-3-sekibun
194,4,terms,cylindrical-shell,微積分:積分,jp-suugaku-3-sekibun
195,4,terms,find-the-arc-length,微積分:積分,jp-suugaku-3-sekibun
196,4,terms,as-n-approaches-infinity,微積分:積分,jp-suugaku-3-sekibun
197,4,terms,can-be-integrated,微積分:積分,jp-suugaku-3-sekibun
198,4,terms,integrals-giving-inverse-trig-functions,微積分:積分,jp-suugaku-3-sekibun
199,4,terms,integral,微積分:積分,jp-suugaku-3-sekibun
200,4,terms,arc-length-of-a-curve,微積分:積分,jp-suugaku-3-sekibun
201,5,terms,substitute-new-variable,微積分:積分,jp-suugaku-3-sekibun
202,5,terms,net-change,微積分:積分,us-ap-calculus-ab-6-integration
203,5,terms,left-riemann-sum,微積分:積分,us-ap-calculus-ab-6-integration
204,5,terms,right-riemann-sum,微積分:積分,us-ap-calculus-ab-6-integration
205,5,terms,midpoint-riemann-sum,微積分:積分,us-ap-calculus-ab-6-integration
206,5,terms,integration-by-long-division,微積分:積分,us-ap-calculus-ab-6-integration
207,5,terms,integration-by-completing-the-square,微積分:積分,us-ap-calculus-ab-6-integration
208,5,terms,overestimate-and-underestimate,微積分:積分,us-ap-calculus-ab-6-integration
209,5,terms,trapezoidal-rule,微積分:積分,us-ap-calculus-ab-6-integration
210,5,terms,fundamental-theorem-of-calculus-part-1,微積分:積分,us-ap-calculus-ab-6-integration
211,5,terms,fundamental-theorem-of-calculus-part-2,微積分:積分,us-ap-calculus-ab-6-integration
212,5,terms,slope-field,微積分:積分,us-ap-calculus-ab-7-differential-equations
213,5,terms,separation-of-variables,微積分:積分,us-ap-calculus-ab-7-differential-equations
214,5,terms,particular-solution,微積分:積分,us-ap-calculus-ab-7-differential-equations
215,5,terms,initial-condition,微積分:積分,us-ap-calculus-ab-7-differential-equations
216,5,terms,exponential-model,微積分:積分,us-ap-calculus-ab-7-differential-equations
217,5,terms,average-value-of-a-function,微積分:積分,us-ap-calculus-ab-8-applications-of-integration
218,5,terms,total-distance-traveled,微積分:積分,us-ap-calculus-ab-8-applications-of-integration
219,5,terms,disk-method,微積分:積分,us-ap-calculus-ab-8-applications-of-integration
220,5,terms,washer-method,微積分:積分,us-ap-calculus-ab-8-applications-of-integration
221,5,terms,shell-method,微積分:積分,us-ap-calculus-ab-8-applications-of-integration
222,5,terms,axis-of-revolution,微積分:積分,us-ap-calculus-ab-8-applications-of-integration
223,5,terms,cross-section,微積分:積分,us-ap-calculus-ab-8-applications-of-integration
224,5,terms,solid-of-revolution,微積分:積分,us-ap-calculus-ab-8-applications-of-integration
225,5,terms,improper-integral,微積分:積分,us-ap-calculus-bc-6-integration-techniques
226,5,terms,eulers-method,微積分:積分,us-ap-calculus-bc-6-integration-techniques
227,5,terms,logistic-differential-equation,微積分:積分,us-ap-calculus-bc-6-integration-techniques
228,5,terms,liate,微積分:積分,us-ap-calculus-bc-6-integration-techniques
229,5,terms,convergence-of-improper-integrals,微積分:積分,us-ap-calculus-bc-6-integration-techniques
230,5,terms,summation-notation,微積分:積分,us-calculus-1-integration
231,5,terms,surface-area-of-revolution,微積分:積分,us-calculus-1-applications-of-integration
232,5,terms,work,微積分:積分,us-calculus-1-applications-of-integration
233,5,terms,hydrostatic-force,微積分:積分,us-calculus-1-applications-of-integration
234,5,terms,center-of-mass,微積分:積分,us-calculus-1-applications-of-integration
235,5,terms,exponential-growth,微積分:積分,us-calculus-1-applications-of-integration
236,5,terms,exponential-decay,微積分:積分,us-calculus-1-applications-of-integration
237,5,terms,half-life,微積分:積分,us-calculus-1-applications-of-integration
238,5,terms,numerical-integration,微積分:積分,us-calculus-2-techniques-of-integration
239,5,terms,simpsons-rule,微積分:積分,us-calculus-2-techniques-of-integration
240,5,terms,comparison-test-for-integrals,微積分:積分,us-calculus-2-techniques-of-integration
241,5,terms,compare-coefficients,微積分:積分,us-calculus-2-techniques-of-integration
242,5,terms,substituting-values,微積分:積分,us-calculus-2-techniques-of-integration
243,5,terms,probability-density-function,微積分:積分,us-calculus-2-applications-of-integration
244,5,terms,centroid,微積分:積分,us-calculus-2-applications-of-integration
245,5,terms,first-order-linear-differential-equation,微積分:積分,us-calculus-2-differential-equations
246,5,terms,integrating-factor,微積分:積分,us-calculus-2-differential-equations
247,5,terms,compare,用語:中1,jp-chuugaku-1-data-no-katsuyou
248,5,terms,data,用語:中1,jp-chuugaku-1-data-no-katsuyou
249,5,terms,frequency,用語:中1,jp-chuugaku-1-data-no-katsuyou
250,5,terms,frequency-table,用語:中1,jp-chuugaku-1-data-no-katsuyou
251,6,terms,class,用語:中1,jp-chuugaku-1-data-no-katsuyou
252,6,terms,class-width,用語:中1,jp-chuugaku-1-data-no-katsuyou
253,6,terms,class-midpoint,用語:中1,jp-chuugaku-1-data-no-katsuyou
254,6,terms,histogram,用語:中1,jp-chuugaku-1-data-no-katsuyou
255,6,terms,frequency-polygon,用語:中1,jp-chuugaku-1-data-no-katsuyou
256,6,terms,relative-frequency,用語:中1,jp-chuugaku-1-data-no-katsuyou
257,6,terms,cumulative-frequency,用語:中1,jp-chuugaku-1-data-no-katsuyou
258,6,terms,cumulative-relative-frequency,用語:中1,jp-chuugaku-1-data-no-katsuyou
259,6,terms,measure-of-center,用語:中1,jp-chuugaku-1-data-no-katsuyou
260,6,terms,median,用語:中1,jp-chuugaku-1-data-no-katsuyou
261,6,terms,mode,用語:中1,jp-chuugaku-1-data-no-katsuyou
262,6,terms,distribution,用語:中1,jp-chuugaku-1-data-no-katsuyou
263,6,terms,experimental-probability,用語:中1,jp-chuugaku-1-data-no-katsuyou
264,6,terms,trend,用語:中1,jp-chuugaku-1-data-no-katsuyou
265,6,terms,spread,用語:中1,jp-chuugaku-1-data-no-katsuyou
266,6,terms,maximum,用語:中1,jp-chuugaku-1-data-no-katsuyou
267,6,terms,minimum,用語:中1,jp-chuugaku-1-data-no-katsuyou
268,6,terms,read-off,用語:中1,jp-chuugaku-1-data-no-katsuyou
269,6,terms,analyze,用語:中1,jp-chuugaku-1-data-no-katsuyou
270,6,terms,tally,用語:中1,jp-chuugaku-1-data-no-katsuyou
271,6,terms,be-skewed,用語:中1,jp-chuugaku-1-data-no-katsuyou
272,6,terms,take-the-average,用語:中1,jp-chuugaku-1-data-no-katsuyou
273,6,terms,arithmetic-mean,用語:中1,jp-chuugaku-1-data-no-katsuyou
274,6,terms,range-of-data,用語:中1,jp-chuugaku-1-data-no-katsuyou
275,6,terms,rotation,用語:中1,jp-chuugaku-1-heimen-zukei
276,6,terms,rotate,用語:中1,jp-chuugaku-1-heimen-zukei
277,6,terms,perpendicular-bisector,用語:中1,jp-chuugaku-1-heimen-zukei
278,6,terms,midpoint,用語:中1,jp-chuugaku-1-heimen-zukei
279,6,terms,reflection,用語:中1,jp-chuugaku-1-heimen-zukei
280,6,terms,intersect,用語:中1,jp-chuugaku-1-heimen-zukei
281,6,terms,symmetric,用語:中1,jp-chuugaku-1-heimen-zukei
282,6,terms,distance,用語:中1,jp-chuugaku-1-heimen-zukei
283,6,terms,point-of-intersection,用語:中1,jp-chuugaku-1-heimen-zukei
284,6,terms,segment,用語:中1,jp-chuugaku-1-heimen-zukei
285,6,terms,angle,用語:中1,jp-chuugaku-1-heimen-zukei
286,6,terms,vertex,用語:中1,jp-chuugaku-1-heimen-zukei
287,6,terms,chord,用語:中1,jp-chuugaku-1-heimen-zukei
288,6,terms,area,用語:中1,jp-chuugaku-1-heimen-zukei
289,6,terms,translation,用語:中1,jp-chuugaku-1-heimen-zukei
290,6,terms,triangle,用語:中1,jp-chuugaku-1-heimen-zukei
291,6,terms,perpendicular-lines,用語:中1,jp-chuugaku-1-heimen-zukei
292,6,terms,rigid-motion,用語:中1,jp-chuugaku-1-heimen-zukei
293,6,terms,line,用語:中1,jp-chuugaku-1-heimen-zukei
294,6,terms,ray,用語:中1,jp-chuugaku-1-heimen-zukei
295,6,terms,side,用語:中1,jp-chuugaku-1-heimen-zukei
296,6,terms,perpendicular,用語:中1,jp-chuugaku-1-heimen-zukei
297,6,terms,parallel,用語:中1,jp-chuugaku-1-heimen-zukei
298,6,terms,angle-bisector,用語:中1,jp-chuugaku-1-heimen-zukei
299,6,terms,circle,用語:中1,jp-chuugaku-1-heimen-zukei
300,6,terms,center,用語:中1,jp-chuugaku-1-heimen-zukei
301,7,terms,radius,用語:中1,jp-chuugaku-1-heimen-zukei
302,7,terms,diameter,用語:中1,jp-chuugaku-1-heimen-zukei
303,7,terms,arc,用語:中1,jp-chuugaku-1-heimen-zukei
304,7,terms,sector,用語:中1,jp-chuugaku-1-heimen-zukei
305,7,terms,central-angle,用語:中1,jp-chuugaku-1-heimen-zukei
306,7,terms,circumference,用語:中1,jp-chuugaku-1-heimen-zukei
307,7,terms,pi,用語:中1,jp-chuugaku-1-heimen-zukei
308,7,terms,perimeter,用語:中1,jp-chuugaku-1-heimen-zukei
309,7,terms,construction,用語:中1,jp-chuugaku-1-heimen-zukei
310,7,terms,compass,用語:中1,jp-chuugaku-1-heimen-zukei
311,7,terms,straightedge,用語:中1,jp-chuugaku-1-heimen-zukei
312,7,terms,line-of-reflection,用語:中1,jp-chuugaku-1-heimen-zukei
313,7,terms,line-symmetry,用語:中1,jp-chuugaku-1-heimen-zukei
314,7,terms,point-symmetry,用語:中1,jp-chuugaku-1-heimen-zukei
315,7,terms,quadrilateral,用語:中1,jp-chuugaku-1-heimen-zukei
316,7,terms,polygon,用語:中1,jp-chuugaku-1-heimen-zukei
317,7,terms,regular-polygon,用語:中1,jp-chuugaku-1-heimen-zukei
318,7,terms,construct,用語:中1,jp-chuugaku-1-heimen-zukei
319,7,terms,be-tangent-to,用語:中1,jp-chuugaku-1-heimen-zukei
320,7,terms,coincide,用語:中1,jp-chuugaku-1-heimen-zukei
321,7,terms,bisect,用語:中1,jp-chuugaku-1-heimen-zukei
322,7,terms,translate,用語:中1,jp-chuugaku-1-heimen-zukei
323,7,terms,reflect,用語:中1,jp-chuugaku-1-heimen-zukei
324,7,terms,measure,用語:中1,jp-chuugaku-1-heimen-zukei
325,7,terms,coordinates,用語:中1,jp-chuugaku-1-hirei-hanpirei
326,7,terms,variable,用語:中1,jp-chuugaku-1-hirei-hanpirei
327,7,terms,constant,用語:中1,jp-chuugaku-1-hirei-hanpirei
328,7,terms,function,用語:中1,jp-chuugaku-1-hirei-hanpirei
329,7,terms,direct-proportion,用語:中1,jp-chuugaku-1-hirei-hanpirei
330,7,terms,inverse-proportion,用語:中1,jp-chuugaku-1-hirei-hanpirei
331,7,terms,constant-of-proportionality,用語:中1,jp-chuugaku-1-hirei-hanpirei
332,7,terms,domain-and-range,用語:中1,jp-chuugaku-1-hirei-hanpirei
333,7,terms,coordinate-plane,用語:中1,jp-chuugaku-1-hirei-hanpirei
334,7,terms,x-coordinate,用語:中1,jp-chuugaku-1-hirei-hanpirei
335,7,terms,y-coordinate,用語:中1,jp-chuugaku-1-hirei-hanpirei
336,7,terms,x-axis,用語:中1,jp-chuugaku-1-hirei-hanpirei
337,7,terms,y-axis,用語:中1,jp-chuugaku-1-hirei-hanpirei
338,7,terms,coordinate-axes,用語:中1,jp-chuugaku-1-hirei-hanpirei
339,7,terms,quadrant,用語:中1,jp-chuugaku-1-hirei-hanpirei
340,7,terms,graph,用語:中1,jp-chuugaku-1-hirei-hanpirei
341,7,terms,hyperbola,用語:中1,jp-chuugaku-1-hirei-hanpirei
342,7,terms,plot-a-point,用語:中1,jp-chuugaku-1-hirei-hanpirei
343,7,terms,correspond,用語:中1,jp-chuugaku-1-hirei-hanpirei
344,7,terms,increase,用語:中1,jp-chuugaku-1-hirei-hanpirei
345,7,terms,decrease,用語:中1,jp-chuugaku-1-hirei-hanpirei
346,7,terms,table-of-values,用語:中1,jp-chuugaku-1-hirei-hanpirei
347,7,terms,write-an-equation,用語:中1,jp-chuugaku-1-hirei-hanpirei
348,7,terms,change-together,用語:中1,jp-chuugaku-1-hirei-hanpirei
349,7,terms,draw-a-graph,用語:中1,jp-chuugaku-1-hirei-hanpirei
350,7,terms,pass-through,用語:中1,jp-chuugaku-1-hirei-hanpirei
351,8,terms,move-term-to-other-side,用語:中1,jp-chuugaku-1-ichiji-houteishiki
352,8,terms,solution,用語:中1,jp-chuugaku-1-ichiji-houteishiki
353,8,terms,solve,用語:中1,jp-chuugaku-1-ichiji-houteishiki
354,8,terms,equation,用語:中1,jp-chuugaku-1-ichiji-houteishiki
355,8,terms,linear-equation,用語:中1,jp-chuugaku-1-ichiji-houteishiki
356,8,terms,properties-of-equality,用語:中1,jp-chuugaku-1-ichiji-houteishiki
