batch,seq,collection,id,verdict,changes,note,date
3,61,terms,differentiate,小さな直し,確かめられない「通じる」を「使う」に（バッチ 2 での見落とし）,バッチ 2 で合格にした語の見落とし（「通じる」）を直した。verified のまま,2026-09-26
3,101,terms,higher-order-derivative,合格,,,2026-09-26
3,102,terms,second-derivative,合格,,,2026-09-26
3,103,terms,nth-derivative,合格,,,2026-09-26
3,104,terms,mean-value-theorem,合格,,,2026-09-26
3,105,terms,rolles-theorem,合格,,,2026-09-26
3,106,terms,concavity,合格,,,2026-09-26
3,107,terms,inflection-point,合格,,,2026-09-26
3,108,terms,absolute-extrema,合格,,,2026-09-26
3,109,terms,velocity,合格,,,2026-09-26
3,110,terms,acceleration,合格,,,2026-09-26
3,111,terms,linear-approximation,合格,,,2026-09-26
3,112,terms,small-change,合格,,,2026-09-26
3,113,terms,differential,合格,,,2026-09-26
3,114,terms,leibniz-notation,合格,,,2026-09-26
3,115,terms,prime-notation,合格,,,2026-09-26
3,116,terms,differentiate-twice,合格,,,2026-09-26
3,117,terms,check-the-concavity,合格,,,2026-09-26
3,118,terms,find-the-inflection-points,合格,,,2026-09-26
3,119,terms,has-a-local-extremum,合格,,,2026-09-26
3,120,terms,not-differentiable,合格,,,2026-09-26
3,121,terms,cusp,合格,,,2026-09-26
3,122,terms,differentiate-both-sides,合格,,,2026-09-26
3,123,terms,limit-definition-of-the-derivative,合格,,,2026-09-26
3,124,terms,instantaneous-rate-of-change,小さな直し,「本プロジェクトの訳語」を直す（瞬間変化率は日本語版 Wikipedia にある）。日本側の主張を解説の言い方に ／ 出典に Wikipedia を足す ／ 出典に解説を足す,,2026-09-26
3,125,terms,corner-nondifferentiable,合格,,,2026-09-26
3,126,terms,vertical-tangent,小さな直し,日本側の主張を解説で確かめられる形に,,2026-09-26
3,127,terms,natural-logarithm,小さな直し,「米国では」を確かめた資料に ／ log と ln の文を確かめられる形に（日本の数III の書き方は資料で確かめられない。慣習差 log-and-ln と同じ書き方）,,2026-09-26
3,128,terms,secant-line,小さな直し,日本の教科書の主張を確かめた資料（Wikipedia）に ／ 「言わないことが多い」を確かめられる形に ／ 数II・数III の言い方の主張を弱める ／ 出典が Wikipedia だけだったので OpenStax Calculus を足す（secant line）,,2026-09-26
3,129,terms,derivatives-of-inverse-trig-functions,小さな直し,日本側の主張を解説で確かめられる形に,,2026-09-26
3,130,terms,outer-function,合格,,,2026-09-26
3,131,terms,inner-function,合格,,,2026-09-26
3,132,terms,solve-for-y-prime,小さな直し,日本の答案・米国の授業の書き方の主張は確かめられないので消し、コーパスの比較だけ残す,,2026-09-26
3,133,terms,arccosine,合格,,,2026-09-26
3,134,terms,arcsine,小さな直し,誤り: IM の Geometry は inverse sine ではなく arcsine と言う。日本側は共通テストで確かめた形に ／ 日本側の出典を足す,,2026-09-26
3,135,terms,arctangent,小さな直し,日米の主張を確かめた資料の範囲に,,2026-09-26
3,136,terms,inverse-trigonometric-function,小さな直し,CED の topic 番号の誤り（3.3 → 3.4）を直し、日本側を解説で確かめた形に,,2026-09-26
3,137,terms,related-rates,小さな直し,日米の主張を確かめた資料の範囲に,,2026-09-26
3,138,terms,lhopitals-rule,小さな直し,解説が触れていることを足す（本文に無い、だけでは不正確） ／ 出典に解説を足す,,2026-09-26
3,139,terms,rectilinear-motion,合格,,,2026-09-26
3,140,terms,second-derivative-test,小さな直し,日米の主張を確かめた資料の範囲に,,2026-09-26
3,141,terms,candidates-test,小さな直し,日本側の主張を解説で確かめられる形に,,2026-09-26
3,142,terms,curve-sketching,合格,,,2026-09-26
3,143,terms,newtons-method,合格,,,2026-09-26
3,144,terms,constraint,小さな直し,「日本の問題文の」を弱める ／ 分野の誤り（linear-algebra → calculus。最適化問題の制約条件）,,2026-09-26
3,145,terms,decreasing,小さな直し,日本側の主張を確かめた資料の範囲に ／ 出典に Wikipedia を足す,,2026-09-26
3,146,terms,sketch,小さな直し,日本側の主張の出典を足す ／ 出典に共通テストを足す,,2026-09-26
3,147,terms,test-point,小さな直し,日本側の主張を解説で確かめられる形に,,2026-09-26
3,148,terms,indefinite-integral,小さな直し,日本側の主張を解説で確かめた形に ／ log と ln の文を確かめられる形に（日本の数III の書き方は資料で確かめられない。慣習差 log-and-ln と同じ書き方） ／ 出典に解説を足す,,2026-09-26
3,149,terms,constant-of-integration,小さな直し,「米国の教科書」を確かめた資料（OpenStax。慣習差と同じ）に,,2026-09-26
3,150,terms,find-an-antiderivative,小さな直し,確かめられない「どれも通じる」を消す（STYLE 追記欄） ／ 末尾の空白を整える,,2026-09-26
