id,summary,term_refs,source,category,appendix_b,merged_from,related
definite-integral-definition,日本の数II は定積分を F(b) − F(a) で定義し、d/dx ∫ₐˣ f(t)dt = f(x) も「微分と積分の関係」として定理名を出さず、数III の区分求積法は和の極限を定積分で表す手法の名前として教える。米国は定積分を Riemann sum の極限で定義し、F(b) − F(a) で計算できることを Fundamental Theorem of Calculus（Part 1／Part 2）と名前で呼び、答案でも by the FTC と書く。,definite-integral|fundamental-theorem-of-calculus|fundamental-theorem-of-calculus-part-1|fundamental-theorem-of-calculus-part-2|riemann-sum|right-riemann-sum,OpenStax Calculus Volume 1|CED topic 6.4|CED topic 6.7|editorial,terminology,,,
us-named-rules-and-tests,日本の高校の教科書は、等式の性質・解き方・判定法・和や体積の求め方・帰納法の段階の多くに名前を付けずに使う。米国の教科書は addition property of equality・square root property・vertical line test・horizontal line test・critical point・power rule・second derivative test・nth-term test・left／right／midpoint Riemann sum・disk／washer／shell method・coterminal angle・reference angle・empirical rule・base case／inductive step と名前で呼び、答案の理由や手順の指示にもその名前を使う。,properties-of-equality|one-to-one-property|midpoint-formula|midpoint|properties-of-logarithms|solving-by-taking-square-roots|special-products|square-of-a-binomial|prime-polynomial|literal-equation|rearranging-an-equation|equation-in-quadratic-form|piecewise-function|slope-formula|rise-over-run|slope|scientific-notation|significant-figures|end-behavior|limit-at-infinity|leading-term|critical-point|constant-multiple-rule|second-derivative-test|power-rule|nth-term-test|monotone-convergence-theorem|monotonic|telescoping-series|removable-discontinuity|difference-quotient|limit-definition-of-the-derivative|net-change|related-rates|optimization-problem|coterminal-angle|reference-angle|quadrantal-angle|ambiguous-case|horizontal-line-test|vertical-line-test|one-to-one|empirical-rule|left-riemann-sum|limit-of-a-riemann-sum|midpoint-riemann-sum|disk-method|volume-of-a-solid-of-revolution|washer-method|shell-method|revolve-around-the-y-axis|cylindrical-shell|base-case|inductive-step|inductive-hypothesis,OpenStax Algebra and Trigonometry|OpenStax Intermediate Algebra|OpenStax Elementary Algebra|OpenStax Prealgebra|OpenStax Calculus Volume 1|OpenStax Calculus Volume 2|CED topic 4.4|CED topic 4.5|CED topic 5.10|CED topic 5.11|CED topic 10.3|CED Unit 6|CED topic 8.3|editorial|OpenStax Introductory Statistics|CED topic 6.2|CED topic 8.9|CED topic 8.10|CED topic 8.11|CED topic 8.12,terminology,30,us-named-algebra-rules|us-named-calculus-rules|us-named-trig-angles|graph-line-tests|empirical-rule-68-95-99-7|riemann-sum-types|volume-of-revolution-methods|induction-step-names,
evaluation-bar-notation,日本は [F(x)]ₐᵇ と書く。米国もこの形を使うが、F(x) の右に縦線を引いて上下に b・a を書く形もよく見る。,definite-integral,editorial,notation,,,evaluation-bar
antiderivative-vs-indefinite-integral,日本の数II は原始関数と不定積分を同じ意味で使うかが教科書による。米国（OpenStax）は F′ = f となる関数 1 つを an antiderivative、+C を付けた全体を indefinite integral と言い分ける。,antiderivative,OpenStax Calculus Volume 1,terminology,,,
constant-of-integration-remark,日本の答案は「ただし C は積分定数」と書き添える。米国の教科書の解答例では where C is a constant を省くことが多い。,constant-of-integration,editorial,proof-style,,,plus-c-constant
substitution-limits-table,"日本の答案は置換積分で積分区間を必ず書き換え、x と t の対応表を添える。米国は when x = 0, u = 1 と文で書くか、x に戻して元の区間で計算する方法もあり、対応表を書くかは教科書・先生による。",change-the-limits-of-integration|substitution-in-a-definite-integral,editorial,proof-style,,,
integrable-meaning,日本の高校の「積分できる」は原始関数を式で書けることを指す。米国の integrable は定積分が存在することを指し、式で書けないことは has no elementary antiderivative と言う。,can-be-integrated,editorial,terminology,,,
accumulation-function-scope,日本の数II の「定積分で表された関数」は ∫ₐˣ f(t)dt の形と、定積分を定数 k とおく形の両方を含む問題群の名前。米国は前者を accumulation function（functions defined by integrals）として扱う。,accumulation-function,CED topic 6.4|CED topic 6.5|CED topic 8.3,terminology,,,
area-and-base-letters,日本は面積を S で書き、底面積 S で V = Sh、断面積を S(x) とする。米国は底面積を大文字 B で V = Bh（小文字 b は底辺）、断面積を A(x) と書く。,area-of-the-base|base-of-a-solid|cross-sectional-area,OpenStax Calculus Volume 1|editorial,letters,,,
triangle-congruence-criteria,日本の三角形の合同条件は 3 つで、直角三角形の合同条件（斜辺と 1 鋭角・斜辺と他の 1 辺）を別に 2 つ立て、AAS は使わず残りの角を求めて ASA に直す。米国は SSS・SAS・ASA に AAS と HL を加えてそれぞれを postulate／theorem と名前で呼び、斜辺と鋭角は HA と呼ぶ教科書も AAS で示す教科書もある。,congruence-criteria|congruence-criteria-for-right-triangles|aas-congruence|conditions-that-determine-a-triangle|hl-congruence,IM Geometry 2.6|IM Geometry 2.7|CK-12 Geometry 4.16,terminology,,,
congruence-abbreviations-in-proofs,日本の証明は「3 組の辺がそれぞれ等しいから」「合同な図形の対応する辺は等しいから」と文で書き、相似条件もまとめて「相似条件」と呼ぶ。米国の Geometry は理由に by SSS・AA similarity・CPCTC と略号で書く（IM は CPCTC を使わず corresponding parts と書く）。,cpctc|corresponding-sides|sss-congruence|similarity-criteria,CK-12 Geometry 4.9|IM Geometry 3.9|IM Geometry 3.10,proof-style,,,
us-named-theorems-and-reasons-in-geometry,日本の中学・高校は平行線の同位角・錯角、三角形の内角の和、線分や角の和などを図形の性質として名前を立てずに使い、証明の理由も「共通」「〜より」と文で書き、方べきの定理を 1 つにまとめる。米国の Geometry は corresponding angles postulate・triangle sum theorem・segment addition postulate、transversal と角の組（alternate exterior angles・linear pair）、reflexive・transitive・substitution property のように 1 つずつ名前を付けて証明の理由（reasons）に書き、方べきの定理も intersecting chords theorem と tangent secant segment theorem に分ける。,angle-addition-postulate|corresponding-angles-postulate|alternate-interior-angles-theorem|angle-sum-of-a-triangle|axiom|postulate|perpendicular-postulate|ruler-postulate|segment-addition-postulate|midsegment-theorem|alternate-exterior-angles|alternate-interior-angles|adjacent-angles|transversal|same-side-interior-angles|same-side-exterior-angles|linear-pair|transitive-property|substitution-property|reflexive-property|zero-product-property|linearity-of-expectation|pigeonhole-principle|intersecting-chords-theorem|power-of-a-point|secant-tangent-theorem,CK-12 Geometry 1.3|CK-12 Geometry 1.9|CK-12 Geometry 3.4|CK-12 Geometry 3.5|CK-12 Geometry 4.17|CK-12 Geometry 4.19|CK-12 Geometry 5.13|IM Geometry 6.10|editorial|CK-12 Geometry 1.13|CK-12 Geometry 1.15|CK-12 Geometry 3.6|CK-12 Geometry 3.7|IM Grade 7|CK-12 Geometry 2.15|CK-12 Geometry 4.12|OpenStax Elementary Algebra|CK-12 Geometry 6.13|CK-12 Geometry 6.20,proof-style,30,geometry-postulates-named|angle-pair-names|properties-as-reasons|power-of-a-point-split,
logic-in-geometry-course,日本は数I で命題の真偽を集合（ベン図）の包含関係で調べ、命題の形に名前を付けず、対偶を利用した証明・場合分けによる証明を扱う。米国は Geometry の授業で conditional statement・biconditional・truth table・deductive reasoning（law of detachment など）を名前で教え、高校課程（CED・OpenStax・IM・CK-12）に対偶による証明・場合分けによる証明は出てこない。,conditional-statement|biconditional|deductive-reasoning|truth-table|proof-by-contrapositive|proof-by-cases,CK-12 Geometry 2.7|CK-12 Geometry 2.8|CK-12 Geometry 2.11|CK-12 Geometry 2.12|CED|OpenStax|IM,classroom-culture,,,
logic-notation,日本の数I は否定を上線 p̄ で書き、「かつ」「または」「すべての」「ある」を言葉で書く。英語の本は ¬p（~p）・p ∧ q・p ∨ q・∀・∃ の記号を使う。,negation|logical-connective|propositional-logic|quantifier,editorial,notation,,,negation-sign|logical-and-wedge|logical-or-vee|for-all-quantifier|there-exists-quantifier
proposition-vs-condition,日本の数I は真偽が決まる文を「命題」、変数の値で真偽が変わる文（x > 3）を「条件」と呼び分ける。英語の condition はもっと広く使い、変数を含む文は statement／predicate（大学の論理）と呼ぶ。,condition|proposition|predicate,editorial,terminology,,,
mapping-rule-notation,"日本は図形の平行移動を「x 軸方向に 3、y 軸方向に −2 だけ平行移動」と言葉で書く。米国の Geometry は (x, y) → (x + 3, y − 2) の形で書き、mapping rule（IM は coordinate rule）と呼ぶ。",coordinate-rule,CK-12 Geometry 8.9|IM Geometry 6.2,notation,,,
graph-transformations,日本は「x 軸方向に p、y 軸方向に q だけ平行移動」「y 軸方向に 3 倍」と軸の方向で言い、もとの関数やグラフの中心線・横のずれに名前を付けない。米国は 3 units to the right・shift・vertically stretched by a factor of 3 と向きで言って transformations としてまとめ、もとの関数を parent function、正弦曲線の中心線と横のずれを midline（y = 2 のように式で答える）・phase shift と呼ぶ。,translation|translate|stretch-vertically|transformations-of-functions|parent-function|midline|phase-shift,IM Grade 8|IM Geometry|IM Algebra 2|OpenStax Algebra and Trigonometry|editorial,terminology,,,
transformations-define-congruence-and-similarity,日本の中学は平行移動・回転移動・対称移動を「移動」とまとめるだけで、相似は拡大図・縮図や「相似の位置」として静的に扱う。米国（IM Geometry）は rigid transformation で重ねられることを合同の定義にして合同条件もそこから証明し、中心と scale factor で決まる dilation を変換として扱って相似も変換で見る。,rigid-motion|center-of-dilation|dilation,IM Geometry|IM Grade 8|CK-12 Geometry 7.16|editorial,terminology,,,
scale-factor-direction,日本の相似比は 2 : 3 のように向きを言わない比で書く。米国の scale factor は元の図形から像への 1 つの数（3/2）で、向きがある。,scale-factor,IM Grade 7|IM Grade 8|IM Geometry,terminology,,,
regular-polygon-area-apothem,日本の数I は正多角形を n 個の二等辺三角形に分け、外接円の半径で (n/2)r² sin(360°/n) と面積を求める。米国は辺心距離 apothem と周の長さで A = (1/2)ap と求める。,area-of-a-regular-polygon|apothem,CK-12 Geometry 5.21,proof-style,,,
factoring-trinomials-method,日本は ax² + bx + c をたすき掛けで因数分解し、「次数の最も低い文字について整理する」技法も使う。米国は ac method（bx を 2 つに分けて 4 項にし factoring by grouping）・box method・guess and check を使い、たすき掛けに当たる名前はない。,cross-method|factoring-by-grouping|arrange-by-the-variable-of-lowest-degree,OpenStax Elementary Algebra|editorial,proof-style,,,
inequality-graph-boundary,日本の答案は「境界線を含む／含まない」と言葉で書く。米国は不等式のグラフで境界線を実線（含む）と点線（dashed line、含まない）で描き分けて示す。,boundary,editorial,notation,,,
square-and-cubic-units,日本は面積・体積を cm²・m³ など決まった単位で答え、「平方単位」「立方単位」とは言わない。米国の問題は単位を決めずに square units・cubic units（units squared）で答えさせることがある。,cubic-units|area|square-units|unit,IM Grade 6 1.8|IM Geometry 5.7|CK-12 Geometry,classroom-culture,,,
circle-and-sphere-boundary,日本語の「球」は中身の詰まった立体で、表面は「球面」と言う。英語の sphere は本来は表面を指し、中身まで言うときは ball、circle も周の曲線だけを指して内部は disk と言う（ただし the volume of a sphere・the area of a circle とは言う）。,sphere|circle|concyclic,editorial,terminology,,,
base-n-parenthesized-subscript,日本の教科書は n 進数を 142₍₅₎・2F₍₁₆₎ と括弧付きの添字で書く。英語の資料は 142₅ と括弧なしや 0x2F と書き、「n 進法で」は in base n と言う。,base-n|hexadecimal,editorial,notation,,,base-n-subscript
floor-function-notation,日本の高校はガウス記号 [x] を使う。英語は床関数 ⌊x⌋（floor function）と書いて天井関数 ⌈x⌉ と区別し、[x] はただの角かっこに見える。,ceiling-function|floor-function|integer-part,editorial,notation,,,gauss-bracket-jp|floor-brackets
us-only-precalculus-topics,日本の高校は拡大係数行列・クラメルの公式・デカルトの符号法則・連続複利・ニュートンの冷却の法則・座標軸の回転を扱わず、組立除法は発展、零点の重複度は大学、無理方程式は数III で扱う。米国は Algebra 1・Algebra 2・Precalculus でこれらを扱い、多項式のグラフを零点の multiplicity や turning points（多くても n − 1 個）から微分を使わずに読む。,augmented-matrix|cramers-rule|descartes-rule-of-signs|continuous-compounding|newtons-law-of-cooling|rotated-conics|synthetic-division|multiplicity|turning-points|radical-equation,OpenStax Algebra and Trigonometry|OpenStax Intermediate Algebra|OpenStax Elementary Algebra|editorial,classroom-culture,,,
us-only-calculus-topics,日本の高校は外積・関数の平均値・数値積分・回転面の面積・方向場を扱わず、学習指導要領には「微分方程式」の語がない（扱うかは教科書次第）。米国は AP Calculus と Calc II・III で average value of a function・slope fields と separation of variables（AP Unit 7）・誤差の上限までの数値積分・回転面の面積・cross product を扱う。,cross-product|area-of-a-triangle-using-vectors|average-value-of-a-function|numerical-integration|surface-area-of-revolution|differential-equation|slope-field,CED Unit 7|CED topic 7.2|CED topic 7.3|CED topic 7.6|OpenStax Calculus Volume 3|editorial,classroom-culture,,,
lhopitals-rule-use,日本の学習指導要領にロピタルの定理はなく、答案で使ってよいかは教科書・先生次第。米国の AP Calculus は topic 4.7 で扱い、ふつうに使う。,lhopitals-rule,CED topic 4.7,classroom-culture,,,
descriptive-statistics-coverage,日本は数I で共分散・四分位偏差を扱い、平均絶対偏差は中学・高校で扱わない。米国は IM Grade 6 で平均絶対偏差（MAD）を教え、OpenStax Introductory Statistics・AP Statistics の CED には共分散・四分位偏差が出てこない（散らばりは IQR）。,covariance|quartile-deviation|mean-absolute-deviation,IM Grade 6|OpenStax Introductory Statistics|AP Statistics CED,classroom-culture,,,
jp-only-number-theory,日本の数A は一次不定方程式（互除法を逆にたどって整数解）・余りによる整数の分類・合同式・n 進法・素数の無限性を扱う。米国の高校課程（CED・OpenStax・IM・CK-12）には出てこず、大学の離散数学（Bézout's identity・Chinese remainder theorem・congruence modulo n）で出てくる。,bezouts-identity|chinese-remainder-theorem|congruence-modulo-n|diophantine-equation|linear-diophantine-equation|euclidean-algorithm|extended-euclidean-algorithm|hexadecimal|numeral-system|infinitude-of-primes,CED|OpenStax|IM|CK-12|Levin 6.2,classroom-culture,,,
jp-only-synthetic-geometry,日本の数A・数I はチェバの定理・メネラウスの定理・三垂線の定理・傍心・二面角・オイラーの多面体定理・垂線の足を扱う。米国の高校課程（CED・OpenStax・IM・CK-12）には出てこず、三垂線の定理には英語の決まった名前もない。,cevas-theorem|menelauss-theorem|three-perpendiculars-theorem|excenter|dihedral-angle|eulers-formula-for-polyhedra|foot-of-the-perpendicular,CED|OpenStax|IM|CK-12|Nicholson|Levin,classroom-culture,,,
jp-only-analytic-geometry,日本の数II・数A・数C はアポロニウスの円、2 円の交点を通る円（kf + g = 0）、点と直線の距離の公式、内分点・外分点の座標、円のベクトル方程式を扱う。米国の高校の教科書（OpenStax ほか）には出てこず、円は (x − h)² + (y − k)² = r² で扱い、内分・外分には決まった言い方もない。,apollonian-circle|circle-through-the-intersections-of-two-circles|distance-from-a-point-to-a-line|point-of-internal-division|point-of-external-division|vector-equation-of-a-circle,CED|OpenStax|IM|CK-12|OpenStax Algebra and Trigonometry,classroom-culture,,,
jp-only-algebra-and-discrete-topics,日本の数I・数II・数A・数B は整数部分・小数部分、二重根号、1 の 3 乗根 ω、2 次式で割った余り、常用対数による桁数、相加平均と相乗平均の関係・コーシー・シュワルツの不等式、3 倍角の公式、階差数列、碁盤の目の最短経路を定番の問題として扱う。米国の高校課程ではほとんど扱わず、階差数列と格子路は大学の離散数学（Levin の sequence of differences・lattice path）で出てくる。,integer-part|fractional-part|nested-radical|nth-roots-of-unity|remainder-theorem|number-of-digits|am-gm-inequality|cauchy-schwarz-inequality|triple-angle-formulas|sequence-of-differences|shortest-path,CED|OpenStax|IM|CK-12|OpenStax Algebra and Trigonometry|Levin|editorial,classroom-culture,,,
jp-named-techniques-unnamed-in-us,日本は「三角関数の合成」「真数条件」「追い出しの原理」「基本対称式」「解と係数の関係」「群数列」「過不足算」「階級値」「接弦定理」「五心」「点対称」「軌跡」「2 円の位置関係」と、手法・条件・問題の型・図形の性質に名前を付けて使う。英語には決まった名前がなく、write as a single sine function・the argument must be positive・the sum of the roots is −b/a・180° rotational symmetry・the set of all points … such that … のように中身を文で言う（五心のうち傍心を除く 4 つは points of concurrency）。,auxiliary-angle-form|argument|comparison-for-divergence|elementary-symmetric-polynomial|relationship-between-roots-and-coefficients|grouped-sequence|surplus-and-shortage|class|class-width|class-midpoint|tangent-chord-theorem|the-five-centers-of-a-triangle|point-symmetry|locus|relative-positions-of-two-lines|relative-positions-of-two-circles|position-of-a-line-relative-to-a-circle,OpenStax|OpenStax Introductory Statistics|editorial|OpenStax Algebra and Trigonometry|OpenStax Calculus,terminology,,jp-named-geometry-unnamed-in-us,
integration-by-parts-u-dv,日本の教科書は部分積分を ∫f g′ dx = fg − ∫f′g dx と書き、「どちらを微分し、どちらを積分するか」と考える。米国は u と dv を選んで ∫u dv = uv − ∫v du と書く。,integration-by-parts|which-one-to-differentiate,editorial,notation,,,
acronym-mnemonics,日本には展開の順序・演算の順序・部分積分の u の選び方に決まった覚え方がなく、sin・cos・tan は筆記体の s・c・t の形で覚える。米国は FOIL・PEMDAS・LIATE・SOHCAHTOA の頭字語で教え、FOIL は動詞としても使う。,liate|integration-by-parts|foil|pemdas|order-of-operations|sohcahtoa|trigonometric-ratio,OpenStax Calculus Volume 2|OpenStax Elementary Algebra|CK-12 Algebra|editorial,classroom-culture,11,,
substitution-variable-u,日本の置換積分は新しい変数に t を使い、g(x) = t と x = g(t) の両方を「置換積分」に含め、x = a sin θ の置換にも名前を付けない。米国はほぼ u を使い（u-substitution）、x = a sin θ の形は trigonometric substitution として別に教え、x に戻すとき reference triangle を描く。,integration-by-substitution|let-u-equal|trigonometric-substitution,OpenStax Calculus Volume 2|editorial,letters,,,
let-new-variable-first,日本の答案は「x² + 1 = t とおく」「〜を x とする」と式や中身を先に書く。英語は Let u = x² + 1. ／ Let n = the number of … と新しい文字を先に書く。,let-u-equal|substitute-new-variable,OpenStax Prealgebra|OpenStax Elementary Algebra|editorial,proof-style,30,,
half-angle-formula-form,日本の教科書は半角の公式を 2 乗の形で書く。米国の教科書は sin(α/2) = ±√((1 − cos α)/2) と平方根の形で書き、符号を α/2 の象限で決める。,half-angle-formulas,editorial,notation,,,
vertex-and-center-letters,"日本は放物線の頂点を (p, q) として y = a(x − p)² + q と書き、円の一般形を x² + y² + lx + my + n = 0 と書く。米国は頂点・中心を (h, k) として y = a(x − h)² + k・(x − h)² + (y − k)² = r² と書き、円の一般形の係数に D, E, F を使うことが多い。",vertex-form|equation-of-a-circle|general-form-of-a-circle,OpenStax Algebra and Trigonometry|editorial,letters,,,
quadratic-forms-naming,日本は ax² + bx + c を「一般形」、a(x − p)² + q を「標準形」と呼び、a(x − α)(x − β) には名前を付けない。米国は a(x − h)² + k を vertex form（OpenStax は standard form）、ax² + bx + c を standard form（OpenStax は general form）、a(x − α)(x − β) を factored form・intercept form と呼び、standard form の指す形は対象と教科書で違う（複素数 a + bi も standard form）。,completing-the-square|complex-number|determine-the-coefficients|quadratic-function|vertex-form|standard-form|factored-form,OpenStax Algebra and Trigonometry|editorial,terminology,,,
line-standard-form,日本の数II は直線の一般形を ax + by + c = 0（右辺 0）と書く。米国の standard form は Ax + By = C（定数が右辺、A・B・C は整数で A ≥ 0 のことが多い）。,standard-form-of-a-line,OpenStax Elementary Algebra,notation,28,,
perpendicular-slope-condition,日本は垂直条件を「傾きの積が −1」（m₁m₂ = −1）、平行条件を a₁b₂ − a₂b₁ = 0 のように式で書く。米国は垂直な直線の傾きを negative reciprocal と呼び、平行も傾きが等しいことで説明する。,negative-reciprocal|perpendicular-lines|parallel-lines|normal-line,OpenStax Algebra and Trigonometry,terminology,,,
us-customary-units,日本の中 3 は落下の式を y = 4.9x²（メートル、下向きに測って係数が正）で扱い、静水圧は物理で扱う。米国の教科書は高さを h(t) = −16t² + v₀t + h₀（フィート、上向きで係数が負）で表し、文章題の速さは mph、積分の応用の静水圧も水 1 立方フィートあたり約 62.4 ポンドの例をメートル・ニュートンの例と並べて載せる。,hydrostatic-force|projectile-motion|motion-problem,OpenStax Algebra and Trigonometry|OpenStax Calculus Volume 1|OpenStax Elementary Algebra,classroom-culture,25,,
imaginary-number-scope,日本の「虚数」は b ≠ 0 の複素数 a + bi 全体を指す。英語の imaginary number は教科書によって bi（純虚数）だけを指し、complex solution は実数解を含むことがあるので、虚数解をはっきり言うなら nonreal と言う。,imaginary-number|imaginary-solution,OpenStax Algebra and Trigonometry|OpenStax Intermediate Algebra,terminology,,,
velocity-speed-displacement,日本の数II の「瞬間の速さ」は負にもなり、数III の「速さ」はその絶対値で、「変位」は物理の語。米国の微積分は velocity・speed・displacement を言い分け、数直線上を動く点を a particle moving along a line、位置を s(t)・x(t)、速度を v(t) と書く。,instantaneous-velocity|displacement,editorial,terminology,,,
