id,symbol,ja_reading,en_readings,level,source,category,term_ref,note,related
nth-root-radical,ⁿ√x,n 乗根 x ／ x の n 乗根,the nth root of x ／ nth root of x,数II|Algebra 2|Precalculus,OpenStax 2463|CK-12 3,roots,nth-root,,
a-sub-n,aₙ ／ aₙ₊₁,a n ／ a の n,a sub n ／ a n ／ a sub n plus one,数B|Algebra 1|Algebra 2|Precalculus,OpenStax 19523,subscripts,general-term,aₙ₊₁ と aₙ + 1 の読み分け,sequence-starting-index
x-naught,x₀ ／ x₁,x ゼロ ／ x 1,x naught ／ x sub zero ／ x zero ／ x sub one ／ x one,数II|数III|Algebra 1|AP Calculus AB|Calculus I,OpenStax 3,subscripts,,,
sequence-braces,{aₙ},数列 {aₙ} ／ 数列 a n,the sequence a sub n ／ the sequence a n,数B|Algebra 2|Precalculus|AP Calculus BC|Calculus II,OpenStax 56,subscripts,sequence,,sequence-starting-index
base-n-subscript,1011₍₂₎ ／ 1011₂,2 進法の 1011 ／ いち れい いち いち（2）,one zero one one base two ／ one zero one one in base two ／ binary one zero one one,数A|Discrete Math,CK-12 4,number-theory,base-n,日本は (2) を括弧つきで添える,base-n-parenthesized-subscript
function-f-of-x,f(x),エフ エックス,f of x,中1|数I|Algebra 1|Algebra 2,data/symbols|OpenStax 9373|CED 18|CK-12 3,functions,function-notation,既存エントリ,reading-f-of-x
inverse-function-notation,f⁻¹(x),f インバース x,f inverse of x ／ f inverse,数III|Algebra 2|Precalculus,OpenStax 246|CK-12 2,functions,inverse-function,1/f(x) と読み違えない,
composition-notation,(f ∘ g)(x) ／ f(g(x)),f マル g (x) ／ f(g(x)),f of g of x ／ f composed with g of x ／ f circle g of x,数III|Algebra 2|Precalculus|AP Calculus AB,OpenStax 137,functions,composite-function,∘ の単独 probe は度（°）の MathML と混ざる,
function-maps-arrow,f: A → B ／ x ↦ f(x),f は A から B への写像 ／ x を f(x) にうつす,f maps A to B ／ f from A to B ／ x maps to f of x,大学|Discrete Math|Linear Algebra,editorial,functions,function,,
piecewise-brace,"f(x) = { x² (x ≥ 0), −x (x < 0) }",f(x) は x ≥ 0 のとき x²、x < 0 のとき −x,"f of x equals x squared if x is greater than or equal to zero and negative x if x is less than zero ／ f of x is x squared for x at least zero, negative x otherwise",数I|数III|Algebra 1|Algebra 2|Precalculus|AP Calculus AB,editorial,functions,piecewise-function,日本は条件を右の ( ) に書く,
max-min-notation,"max{a, b} ／ min{a, b}","a と b の大きい方 ／ マックス a, b",the max of a and b ／ the maximum of a and b ／ the min of a and b,Calculus I|Discrete Math,OpenStax 10,functions,maximum,日本は入試で使う（指導要領の記号ではない）,
floor-brackets,⌊x⌋,x の床関数 ／ フロア x,the floor of x ／ floor of x ／ the greatest integer less than or equal to x,大学|Precalculus|Discrete Math,OpenStax 1,functions,floor-function,,floor-function-notation
gauss-bracket-jp,[x]（ガウス記号）,ガウス x ／ x を超えない最大の整数,the greatest integer less than or equal to x ／ the greatest integer function of x ／ the floor of x,Algebra 2|Precalculus,editorial,functions,integer-part,日本の入試の記法（指導要領の記号ではない）。米国は ⟦x⟧ か ⌊x⌋ で greatest integer function と呼ぶ,floor-function-notation
ceiling-brackets,⌈x⌉,x の天井関数,the ceiling of x ／ ceiling of x,大学|Discrete Math,editorial,functions,ceiling-function,,
hyperbolic-functions-notation,sinh x ／ cosh x ／ tanh x,ハイパボリックサイン x ／ ハイパボリックコサイン x,hyperbolic sine of x ／ cinch x ／ cosh x ／ hyperbolic cosine of x ／ tanch x,大学|Calculus I|Calculus II,OpenStax 692,functions,hyperbolic-functions,,
sine-of-theta,sin θ,サイン シータ,sine theta ／ sine of theta ／ the sine of theta,数I|Geometry|Algebra 2|Precalculus,学習指導要領〔用語・記号〕数I sin|OpenStax 12249|CED 9|CK-12 3,trigonometry,sine,MEXT〔記号〕sin,
cosine-of-theta,cos θ,コサイン シータ,cosine theta ／ cosine of theta ／ the cosine of theta,数I|Geometry|Algebra 2|Precalculus,学習指導要領〔用語・記号〕数I cos|OpenStax 12009|CED 7,trigonometry,cosine,MEXT〔記号〕cos,
tangent-of-theta,tan θ,タンジェント シータ,tangent theta ／ tangent of theta ／ tan theta,数I|Geometry|Algebra 2|Precalculus,学習指導要領〔用語・記号〕数I tan|OpenStax 3921|CED 2|CK-12 5,trigonometry,tangent,MEXT〔記号〕tan,
secant-of-theta,sec θ,セカント シータ,secant theta ／ secant of theta ／ sec theta,Algebra 2|Precalculus|AP Calculus AB|Calculus I,OpenStax 412,trigonometry,secant,PLAN 付録 B #11。高校では 1/cos θ と書く,reciprocal-trig-functions
cosecant-of-theta,csc θ,コセカント シータ,cosecant theta ／ cosecant of theta ／ csc theta,Algebra 2|Precalculus|AP Calculus AB|Calculus I,OpenStax 1040,trigonometry,cosecant,日本の大学・英国は cosec と書くこともある,reciprocal-trig-functions
cotangent-of-theta,cot θ,コタンジェント シータ,cotangent theta ／ cotangent of theta ／ cot theta,Algebra 2|Precalculus|AP Calculus AB|Calculus I,OpenStax 377,trigonometry,cotangent,,reciprocal-trig-functions
sine-squared,sin²θ,サイン 2 乗 シータ,"sine squared theta ／ sine squared of theta ／ sine of theta, squared",数I|Algebra 2|Precalculus,editorial,trigonometry,,sin θ² と (sin θ)² の区別,
inverse-sine-notation,sin⁻¹ x ／ arcsin x,アークサイン x,inverse sine of x ／ arcsine of x ／ arc sine x ／ sine inverse of x,大学|Precalculus|AP Calculus AB|Calculus I,OpenStax 217|CED 2,trigonometry,arcsine,PLAN 付録 B #12。1/sin x と読み違えない,inverse-trig-functions
inverse-cosine-notation,cos⁻¹ x ／ arccos x,アークコサイン x,inverse cosine of x ／ arccosine of x ／ arc cosine x ／ cosine inverse of x,大学|Precalculus|AP Calculus AB|Calculus I,OpenStax 159,trigonometry,arccosine,,inverse-trig-functions
inverse-tangent-notation,tan⁻¹ x ／ arctan x,アークタンジェント x,inverse tangent of x ／ arctangent of x ／ arc tangent x ／ tangent inverse of x,大学|Precalculus|AP Calculus AB|Calculus I,OpenStax 273,trigonometry,arctangent,,inverse-trig-functions
radian-unit,π/2 rad,2 分の π ラジアン,pi over two radians,数II|Algebra 2|Precalculus,OpenStax 24,trigonometry,radian,,angle-units-degrees-and-radians
theta,θ,シータ,theta,数I|Geometry|Algebra 2|Precalculus,data/symbols|OpenStax 15207|CED 3,trigonometry,angle,既存エントリ,
log-base-a,logₐ x,ログ a x ／ a を底とする x の対数,log base a of x ／ the log base a of x ／ log sub a of x ／ the logarithm of x to the base a,数II|Algebra 2|Precalculus,学習指導要領〔用語・記号〕数II log_a x|OpenStax 929,logarithms,logarithm,MEXT〔記号〕log_a x。log₂ x も同じ型,
common-log-notation,log x ／ log₁₀ x,ログ x ／ 常用対数 log₁₀ x,log x ／ log of x ／ the common log of x ／ log base ten of x,数II|Algebra 2|Precalculus,OpenStax 507,logarithms,common-logarithm,PLAN 付録 B #4。日本の数II は底 10 を省略しない,log-and-ln
natural-log-ln,ln x,エルエヌ x ／ 自然対数 x,the natural log of x ／ l n x ／ natural log x ／ lin x,数III|Algebra 2|Precalculus|AP Calculus AB|Calculus I,OpenStax 1714|CED 1,logarithms,natural-logarithm,日本の数III は log x と書く（log-e-jp）,log-and-ln
log-e-jp,log x（数III、底 e）／ logₑ x,ログ x（自然対数）,the natural log of x ／ ln x ／ log base e of x,数III|Calculus I,editorial,logarithms,natural-logarithm,JP-only: 日本の表記。米国の教科書では使わない（読みは米国の言い方を併記）に近い。数III では底 e を省略して log x と書く。米国の高校では log x は常用対数、大学の一部の本は log = ln,log-and-ln
limit-x-to-a,lim_{x→a} f(x),リミット x → a f(x) ／ x が a に限りなく近づくときの f(x) の極限値,the limit as x approaches a of f of x ／ the limit of f of x as x approaches a ／ the limit as x goes to a of f of x,数II|数III|Precalculus|AP Calculus AB|Calculus I,学習指導要領〔用語・記号〕数II lim|OpenStax 2898|CED 15,limits,limit,MEXT〔記号〕lim,
infinity-symbol,∞ ／ −∞,無限大 ／ マイナス無限大,infinity ／ negative infinity ／ minus infinity,数III|Algebra 2|Precalculus|AP Calculus AB|Calculus I,学習指導要領〔用語・記号〕数III ∞|OpenStax 9142|CED 19|CED-Stats 1,limits,infinity,MEXT〔記号〕∞,
approaches-arrow,x → a,x が a に近づく ／ x → a,x approaches a ／ x goes to a ／ x tends to a,数II|数III|Precalculus|AP Calculus AB|Calculus I,OpenStax 3864|CED 25|CK-12 209,limits,approaches,→ は半直線・写像・条件文とも共有,
limit-from-left,lim_{x→a⁻} f(x)（日本では x → a − 0）,x が a に左から近づくときの極限 ／ リミット x → a マイナス 0,the limit as x approaches a from the left of f of x ／ the limit as x approaches a minus ／ the left-hand limit of f at a,数III|Precalculus|AP Calculus AB|Calculus I,editorial,limits,left-hand-limit,日本の a − 0 は日本特有,one-sided-limit-notation
limit-from-right,lim_{x→a⁺} f(x)（日本では x → a + 0）,x が a に右から近づくときの極限 ／ リミット x → a プラス 0,the limit as x approaches a from the right of f of x ／ the limit as x approaches a plus ／ the right-hand limit of f at a,数III|Precalculus|AP Calculus AB|Calculus I,OpenStax 38|CK-12 2,limits,right-hand-limit,,one-sided-limit-notation
dne-abbreviation,DNE,（極限が）存在しない,does not exist ／ D N E,Precalculus|AP Calculus AB|Calculus I,OpenStax 23,limits,the-limit-does-not-exist,米国の答案の略記,dne-in-answers
indeterminate-forms,0/0 ／ ∞/∞,0 分の 0 ／ 不定形,zero over zero ／ infinity over infinity,数III|AP Calculus AB|AP Calculus BC|Calculus I,OpenStax 5|CK-12 4,limits,indeterminate-form,,
difference-quotient-limit,lim_{h→0} (f(x + h) − f(x))/h,リミット h → 0 h 分の f(x + h) − f(x),"the limit as h approaches zero of f of x plus h minus f of x, all over h ／ the limit as h goes to zero of the quantity f of x plus h minus f of x over h",数II|数III|AP Calculus AB|Calculus I,OpenStax 211,derivatives,limit-definition-of-the-derivative,all over の読み,
derivative-prime,f′(x),エフ ダッシュ エックス,f prime of x ／ f prime,数II|数III|AP Calculus AB|Calculus I,data/symbols|OpenStax 887|CED 7,derivatives,derivative,既存エントリ。′ 単独は分・像 A′・p′ と共有,y-prime-vs-dy-dx
derivative-leibniz,dy/dx,ディーワイ ディーエックス,d y d x ／ d y over d x,数III|AP Calculus AB|Calculus I,data/symbols|OpenStax 402,derivatives,leibniz-notation,既存エントリ,y-prime-vs-dy-dx
second-derivative-leibniz,d²y/dx²,ディー 2 ワイ ディーエックス 2 乗,d two y d x two ／ d squared y d x squared ／ the second derivative of y with respect to x,数III|AP Calculus AB|Calculus I,OpenStax 31,derivatives,second-derivative,,
nth-derivative-notation,f⁽ⁿ⁾(x) ／ f‴(x),f の n 次導関数 ／ エフ エヌ エックス,the nth derivative of f ／ f super n of x ／ f triple prime of x,数III|AP Calculus BC|Calculus I|Calculus II,OpenStax 96,derivatives,nth-derivative,,
derivative-evaluated-at,dy/dx |ₓ₌ₐ,x = a における dy/dx の値,d y d x evaluated at x equals a ／ d y d x at x equals a,数III|AP Calculus AB|Calculus I,OpenStax 3,derivatives,derivative-at-a-point,,
delta-x,Δx ／ Δy/Δx,デルタ x ／ x の増分,delta x ／ change in x ／ delta y over delta x ／ the change in y over the change in x,数II|数III|Algebra 1|AP Calculus AB|Calculus I,OpenStax 467|CED 2,derivatives,average-rate-of-change,日本の数II は h を使うことが多い,
partial-derivative-leibniz,∂f/∂x,ラウンド f ラウンド x ／ デル f デル x,partial f partial x ／ the partial derivative of f with respect to x ／ the partial of f with respect to x ／ del f del x,大学|Calculus III,OpenStax 3345,derivatives,partial-derivative,,
partial-derivative-subscript,fₓ ／ fₓᵧ,f x（偏導関数）,f sub x ／ f x ／ f sub x y,大学|Calculus III,OpenStax 37,derivatives,partial-derivative,,
nabla,∇f,ナブラ エフ,del f ／ the gradient of f,大学|Calculus III,data/symbols|OpenStax 404,derivatives,gradient,既存エントリ,
directional-derivative-notation,Dᵤ f,u 方向の方向微分係数,D sub u of f ／ the directional derivative of f in the direction of u,大学|Calculus III,OpenStax 42,derivatives,directional-derivative,,
jacobian-notation,"∂(x, y)/∂(u, v)",ヤコビアン,the Jacobian of x and y with respect to u and v ／ partial x y over partial u v,大学|Calculus III,OpenStax 14,derivatives,jacobian,,
divergence-del-dot,∇ · F ／ div F,ダイバージェンス F ／ ナブラ ドット F,del dot F ／ the divergence of F ／ div F,大学|Calculus III,OpenStax 72,vectors,divergence-vector,,
curl-del-cross,∇ × F ／ curl F,ローテーション F ／ rot F,del cross F ／ the curl of F ／ curl F,大学|Calculus III,OpenStax 115,vectors,curl-vector,日本は rot と書くことが多い,
integral-indefinite,∫ f(x) dx,インテグラル f(x) dx ／ f(x) の不定積分,the integral of f of x d x ／ the integral of f of x with respect to x ／ the antiderivative of f of x,数II|数III|AP Calculus AB|Calculus I,OpenStax 9958|CED 25,integrals,indefinite-integral,,
integral-definite,∫ₐᵇ f(x) dx,インテグラル a から b、f(x) dx ／ f(x) の a から b までの定積分,the integral from a to b of f of x d x ／ the integral of f of x from a to b,数II|数III|AP Calculus AB|Calculus I,data/symbols|OpenStax 488,integrals,definite-integral,既存エントリ,
plus-c-constant,+ C,プラス C（C は積分定数）,plus C ／ plus a constant,数II|AP Calculus AB|Calculus I,OpenStax 1296|CED 5,integrals,constant-of-integration,,constant-of-integration-remark
evaluation-bar,F(x)|ₐᵇ（日本では [F(x)]ₐᵇ）,F(x) の a から b ／ [F(x)] a から b,F of x evaluated from a to b ／ F of x from a to b ／ F of x evaluated at b minus F of x evaluated at a,数II|AP Calculus AB|Calculus I,OpenStax 14,integrals,,日本は角括弧、米国は縦線が多い,evaluation-bar-notation
double-integral-sign,"∬_R f(x, y) dA","二重積分 ∬ f(x, y) dA",the double integral over R of f of x y d A ／ the double integral of f over R,大学|Calculus III,OpenStax 596,integrals,double-integral,,
triple-integral-sign,∭_E f dV,三重積分,the triple integral over E of f d V ／ the triple integral of f over E,大学|Calculus III,OpenStax 157,integrals,triple-integral,,
line-integral-sign,∫_C F · dr ／ ∮_C,線積分,the line integral over C of F dot d r ／ the integral over C of F dot d r ／ the integral around C,大学|Calculus III,OpenStax 424,integrals,line-integral,,
summation-sigma,∑ₖ₌₁ⁿ aₖ,シグマ、k イコール 1 から n まで、a の k,"the sum from k equals one to n of a sub k ／ the sum of a k, k from one to n",数B|Precalculus|AP Calculus BC|Calculus II,学習指導要領〔用語・記号〕数B Σ|data/symbols|OpenStax 3935|CED 11|CED-Stats 11,sums,summation-notation,既存エントリ（term_ref は null）。MEXT〔記号〕Σ,summation-index-letter
product-pi-notation,∏ᵢ₌₁ⁿ aᵢ,パイ（総乗）、i = 1 から n まで a i,"the product from i equals one to n of a sub i ／ the product of a sub i, i from one to n",大学|Discrete Math,editorial,sums,product,,
factorial-n,n!,n の階乗,n factorial,数A|Algebra 2|Precalculus|AP Statistics|Discrete Math,学習指導要領〔用語・記号〕数A n!|OpenStax 681|CED 5|CK-12 3,probability-statistics,factorial,MEXT〔記号〕n!,
permutation-npr,"ₙPᵣ ／ P(n, r)",エヌ ピー アール,the number of permutations of n things taken r at a time ／ n P r,数A|Algebra 2|Precalculus|Discrete Math,学習指導要領〔用語・記号〕数A nPr|data/symbols|OpenStax 30,probability-statistics,permutation,既存エントリ。MEXT〔記号〕nPr,combination-permutation-notation
combination-ncr,"ₙCᵣ ／ C(n, r) ／ (n r)（二項係数）",エヌ シー アール,n choose r,数A|数II|Algebra 2|Precalculus|Discrete Math,学習指導要領〔用語・記号〕数A nCr|data/symbols|OpenStax 94,probability-statistics,combination,既存エントリ（term_ref は null。組合せのエントリは今はある）。MEXT〔記号〕nCr,combination-permutation-notation
repeated-combination-h-jp,ₙHᵣ,エイチ n r ／ 重複組合せの数,the number of combinations with repetition of n things taken r at a time ／ n multichoose r ／ n plus r minus one choose r,数A,editorial,probability-statistics,combination-with-repetition,JP-only: 日本の表記。米国の教科書では使わない（読みは米国の言い方を併記）（数A の発展・入試。指導要領の記号ではない）,repeated-combination-notation
element-of-sign,a ∈ A,a は A に属する ／ a は A の要素,a is an element of A ／ a is in A ／ a belongs to A ／ a is a member of A,数I|Precalculus|Discrete Math|Linear Algebra,OpenStax 523|CK-12 1,sets,element,,
not-element-of-sign,a ∉ A,a は A に属さない,a is not an element of A ／ a is not in A,数I|Discrete Math,editorial,sets,element,,
subset-sign,A ⊆ B（日本では A ⊂ B）,A は B の部分集合 ／ A は B に含まれる,A is a subset of B ／ A is contained in B,数I|Discrete Math|Linear Algebra,OpenStax 7,sets,subset,日本の ⊂ は等しい場合を含む,subset-symbol
proper-subset-sign,A ⊊ B（米国では A ⊂ B をこの意味で使う本がある）,A は B の真部分集合,A is a proper subset of B,大学|Discrete Math,editorial,sets,subset,⊂ の意味が日米・本で違う,subset-symbol
union-sign,A ∪ B,A カップ B ／ A と B の和集合,A union B ／ the union of A and B,数I|数A|Algebra 2|AP Statistics|Intro Statistics|Discrete Math,OpenStax 451|CED-Stats 3|CK-12 2,sets,union,,
intersection-sign,A ∩ B,A キャップ B ／ A と B の共通部分,A intersect B ／ the intersection of A and B ／ A intersection B,数I|数A|Algebra 2|AP Statistics|Intro Statistics|Discrete Math,OpenStax 28|CED-Stats 8|CK-12 2,sets,intersection,,
complement-notation,Ā（日本）／ Aᶜ ／ A′,A バー ／ A の補集合,A complement ／ the complement of A ／ A prime ／ A bar ／ not A,数I|数A|AP Statistics|Intro Statistics|Discrete Math,OpenStax 20|CK-12 85,sets,complement,OpenStax Introductory Statistics は A′（A prime）,complement-bar-vs-c-prime
empty-set-symbol,∅,空集合,the empty set ／ the null set,数I|Intro Statistics|Discrete Math,OpenStax 4,sets,empty-set,,
natural-numbers-symbol,ℕ,自然数全体の集合 N,the natural numbers ／ the set of natural numbers ／ N,大学|Discrete Math,editorial,sets,natural-number,0 を含むかは本による,
integers-symbol,ℤ,整数全体の集合 Z,the integers ／ the set of integers ／ Z,大学|Discrete Math,editorial,sets,integer,,
