id,situation,ja,en,level,source,merged_from
differentiate-the-outside-first,class-listening,外側から微分します。,Differentiate the outside first. ／ Take the derivative of the outside and leave the inside alone.,数III|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-3-bibun),
multiply-by-the-derivative-of-the-inside,class-listening,そのあと内側の微分を掛けます。,Then multiply by the derivative of the inside. ／ … times the derivative of the inside.,数III|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-3-bibun),
f-double-prime-is-positive,written-solution,f''(x) > 0 なので、グラフは下に凸である。,"Since f''(x) > 0, the graph of f is concave up. ／ f double prime is positive.",数III|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-3-bibun),
the-derivative-is-zero,written-solution,x = a で微分係数が 0 になる。,f′(a) = 0. ／ The derivative is zero at x = a. ／ The tangent line is horizontal here. ／ There's a horizontal tangent at x = 1.,数III|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-3-bibun),the-tangent-line-is-horizontal
continuous-but-not-differentiable,class-listening,連続だけど微分可能ではない、という例です。,"It's continuous but not differentiable at 0. ／ Think of |x|: it's continuous, but there's a corner.",数III|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-3-bibun),
assume-it-holds-for-n-k,written-solution,n = k のとき成り立つと仮定する。,Assume the statement holds for n = k. ／ Suppose it is true for n = k.,数B|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-b-suuretsu),
it-also-holds-for-n-k-1,written-solution,よって n = k + 1 のときも成り立つ。,Then it also holds for n = k + 1. ／ So it's true for n = k + 1 as well.,数B|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-b-suuretsu),
the-common-ratio-is-less-than-1,written-solution,公比の絶対値が 1 より小さいので、この級数は収束する。,"Since |r| < 1, the series converges. ／ The common ratio is less than 1 in absolute value.",数B|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-b-suuretsu),
multiply-by-r-and-subtract,class-listening,両辺に r を掛けて、もとの式から引きます。,"Multiply both sides by r and subtract. ／ Multiply by r, then subtract one equation from the other.",数B|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-b-suuretsu),
find-the-pattern,class-listening,規則性を見つけましょう。,Do you see a pattern? ／ Let's find the pattern.,数B|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-b-suuretsu),
squares-are-nonnegative,written-solution,実数の 2 乗は 0 以上なので、,"Since the square of a real number is nonnegative, … ／ A square is never negative.",数II|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-shiki-to-shoumei),
left-side-minus-right-side,written-solution,（左辺）−（右辺）= …,LHS − RHS = … ／ (left side) − (right side) = … ／ Look at the difference of the two sides. ／ Subtract the right side from the left side. ／ I took the difference and showed it's nonnegative. ／ I looked at left side minus right side.,数II|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-shiki-to-shoumei),take-the-difference-of-the-two-sides|form-the-difference
the-equation-holds,written-solution,よって等式が成り立つ。,Hence the equation holds. ／ So the identity is true.,数II|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-shiki-to-shoumei),
what-we-want-to-show,written-solution,示すべき式は …… である。,We want to show that … ／ We need to show that …,数II|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-shiki-to-shoumei),
involves-imaginary-numbers,class-listening,解に虚数が出てきます。,The solutions involve imaginary numbers. ／ You get complex solutions. ／ There are no real solutions.,数II|Algebra 2|Integrated Math 3,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-fukusosuu-to-houteishiki),
conversely,written-solution,逆に、,"Conversely, … ／ Now for the other direction, …",数II|Geometry|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-zukei-to-houteishiki),
rewrite-the-expression,class-listening,式を変形します。,Let's rewrite the expression. ／ Rewrite it as …,数II|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-sankaku-kansuu),
on-the-interval-from-0-to-2,exam,0 ≦ θ < 2π の範囲で解け。,"Solve for 0 ≤ θ < 2π. ／ Find all solutions in the interval [0, 2π).",数II|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-sankaku-kansuu),
the-base-is-greater-than-1,written-solution,底が 1 より大きいので、不等号の向きは変わらない。,"Since the base is greater than 1, the direction of the inequality stays the same. ／ Since the base is greater than 1, the function is increasing.",数II|Algebra 2|Precalculus,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-shisuu-taisuu),
split-at-the-median,class-listening,中央値でデータを 2 つに分けます。,Split the data at the median. ／ The median splits the data into a lower half and an upper half.,中2|Algebra 1,ledger/phrases-candidates.csv (from 空; unit jp-chuugaku-2-data-no-katsuyou),
evaluate-critically,class-listening,この結論が正しいか、批判的に考えてみましょう。,Does this conclusion hold up? ／ Critique the reasoning.,中2|Algebra 1,ledger/phrases-candidates.csv (from 空; unit jp-chuugaku-2-data-no-katsuyou),
organize-the-data,class-listening,まずデータを整理しましょう。,Let's organize the data first. ／ Put the data in order.,数I|Algebra 1|AP Statistics,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-1-data-no-bunseki),
probabilities-sum-to-1,class-listening,確率を全部足すと 1 になります。,The probabilities have to add up to 1. ／ The probabilities sum to 1.,数B|AP Statistics|Intro Statistics,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-b-toukei-teki-na-suisoku),
let-p-be-the-position-vector-of-p,written-solution,点 P の位置ベクトルを p とする。,Let p be the position vector of P. ／ Let p = OP.,数C|Precalculus|Calculus III,ledger/phrases-candidates.csv|OpenStax Calculus Volume 3（Let … be the position vector of …）,
organize-in-a-table,class-listening,表にまとめてみましょう。,Let's organize this in a table. ／ Make a table.,数C|Precalculus|Linear Algebra,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-c-hyougen-no-kufuu),
represent-with-a-graph,class-listening,グラフで表してみましょう。,Let's represent this with a graph. ／ Graph it and see what it looks like.,数C|Precalculus|Linear Algebra,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-c-hyougen-no-kufuu),
where,written-solution,ただし a > 0 とする。,"…, where a > 0. ／ Assume a > 0.",数I|Algebra 1|Algebra 2,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-1-kazu-to-shiki),
clearly,written-solution,明らかに、,"Clearly, … ／ It is clear that …",数I|Geometry|Discrete Math,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-1-shuugou-to-meidai),
in-general,written-solution,一般に、,"In general, … ／ This isn't true in general.",数I|Geometry|Discrete Math,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-1-shuugou-to-meidai),
take-positive-values,written-solution,f(x) は常に正の値をとる。,f(x) is always positive. ／ f takes only positive values.,数I|Algebra 1|Algebra 2,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-1-niji-kansuu),
apply-the-theorem,class-listening,ここで定理が使えます。,Now we can apply the theorem. ／ Now use the theorem.,数A|Geometry,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-a-zukei-no-seishitsu),
by-definition,written-solution,定義より、,"By definition, … ／ By the definition of the derivative, …",大学|Geometry,ledger/phrases-candidates.csv (from 空; unit us-geometry-reasoning-and-proof),
check-the-sign,class-listening,符号を調べましょう。,Check the sign. ／ Let's check the sign of f′ on each interval.,数I|Algebra 1|Algebra 2,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-1-niji-kansuu),
omit,class-listening,掛け算の記号 × は省略します。,We drop the multiplication sign. ／ You can leave out the times sign.,中1|Pre-Algebra|Algebra 1,ledger/phrases-candidates.csv (from 空; unit jp-chuugaku-1-moji-to-shiki),
in-order,class-listening,左から順に計算します。,Go in order from left to right. ／ Work left to right.,中1|Pre-Algebra|Algebra 1,ledger/phrases-candidates.csv (from 空; unit jp-chuugaku-1-moji-to-shiki),
by-hypothesis,written-solution,仮定より、,"By hypothesis, … ／ Since AB = CD is given, … ／ Given",中2|Geometry|Integrated Math 1,ledger/phrases-candidates.csv (from 空; unit jp-chuugaku-2-heikou-to-goudou),
since,written-solution,〜より（〜なので）、,"Since …, … ／ Because …, … ／ By …, …",中2|Geometry|Integrated Math 1,ledger/phrases-candidates.csv (from 空; unit jp-chuugaku-2-heikou-to-goudou),
are-equal-respectively,written-solution,3 組の辺がそれぞれ等しい。,"The three pairs of corresponding sides are equal, respectively. ／ AB = DE, BC = EF, and CA = FD.",中2|Geometry|Integrated Math 1,ledger/phrases-candidates.csv (from 空; unit jp-chuugaku-2-heikou-to-goudou),
divide-the-figure,class-listening,図形をいくつかに分けて考えます。,Break the figure into smaller shapes. ／ Divide the figure into a rectangle and a triangle.,中2|Geometry,ledger/phrases-candidates.csv (from 空; unit jp-chuugaku-2-sankakkei-to-shikakkei),
square-and-add,class-listening,両方の式を 2 乗して足します。,Square both equations and add them. ／ Square and add.,中3|Geometry|Integrated Math 2,ledger/phrases-candidates.csv (from 空; unit jp-chuugaku-3-sanpeihou),
class-asking-repeat,class-asking,すみません、最後のところをもう一度お願いできますか。,"Sorry, could you say that last part again? ／ Could you repeat the last step? ／ Sorry, I missed that.",all,data/phrases,
exam-clarify-instruction,exam,ここでの simplify は、分母を有理化しろという意味ですか。,"Does ""simplify"" here mean I should rationalize the denominator? ／ When it says ""simplify,"" do you want the denominator rationalized? ／ What do you mean by ""simplify"" here?",all,data/phrases,
explaining-solution-first-step,explaining-solution,まず 2 つの式を等号で結んで、x について解いて、最後に答えを確かめました。,"First I set the two expressions equal, then I solved for x and checked the answer. ／ What I did was set them equal and solve for x. ／ I started by setting the two expressions equal to each other.",all,data/phrases,
office-hours-stuck-at-step,office-hours,ここまでは分かるのですが、この行から次の行への変形が分かりません。,"I follow it up to here, but I don't see how you get from this line to the next one. ／ I'm lost at this step. ／ Could you walk me through this step?",大学,data/phrases,
written-solution-therefore,written-solution,よって x=3 が唯一の解である。,"Therefore x = 3 is the only solution. ／ Hence x = 3 is the only solution. ／ So x = 3 is the only solution. ／ Therefore, … ／ Thus, … ／ So … ／ Hence … ／ Thus …",all,data/phrases,therefore|hence
class-listening-does-that-make-sense,class-listening,ここまで分かりましたか。次に進む前に質問は？,Does that make sense? ／ Any questions before we move on? ／ Everybody good?,all,editorial,
class-listening-take-out-a-sheet-of-paper,class-listening,紙を 1 枚出してください（小テストをします）。,Take out a sheet of paper. ／ Clear your desks — pop quiz.,all,editorial,
class-listening-turn-to-page,class-listening,教科書の 112 ページを開いてください。,Turn to page 112. ／ Open your books to page 112.,all,editorial,
class-listening-homework-is,class-listening,宿題は 3.2 節の 1 番から 25 番までの奇数番です。,"For homework, do section 3.2, 1 through 25, odds. ／ Tonight's homework is 3.2, odd problems 1 to 25.",all,editorial,
class-listening-answers-in-the-back,class-listening,奇数番の答えは教科書の巻末に載っています。,The answers to the odd-numbered problems are in the back of the book. ／ Check your answers in the back.,all,editorial,
class-listening-its-due,class-listening,提出は金曜日です。,It's due Friday. ／ Turn it in at the start of class on Friday.,all,editorial,
class-listening-pass-your-papers-forward,class-listening,答案を前に回してください。,Pass your papers forward. ／ Pass them up to the front.,all,editorial,
class-listening-try-this-one,class-listening,この問題を自分で解いてみてください。数分とります。,Go ahead and try this one — I'll give you a couple of minutes. ／ You guys try this one.,all,editorial,
class-listening-work-with-a-partner,class-listening,隣の人と答えを比べてみて。,Turn to your neighbor and compare answers. ／ Work with a partner.,all,editorial,
class-listening-who-wants-to-come-up,class-listening,誰か前に出て解いてくれる人？,Who wants to come up and do this one? ／ Can I get a volunteer?,all,editorial,
class-listening-write-this-down,class-listening,これはノートに書いておいてください。,Write this down. ／ You'll want this in your notes.,all,editorial,
class-listening-this-will-be-on-the-test,class-listening,ここはテストに出ます。,This will be on the test. ／ Know this for the exam.,all,editorial,
class-listening-you-dont-need-to-memorize,class-listening,この公式は覚えなくていいです。公式集に載っています。,You don't need to memorize this — it's on the formula sheet. ／ You'll be given this formula.,all,editorial,
class-listening-common-mistake,class-listening,ここはよくある間違いです。,This is a really common mistake. ／ Watch out — this is where people lose points.,all,editorial,
class-listening-notice-that,class-listening,ここで〜に注目してください。,Notice that … ／ The key thing to see here is …,all,editorial,
class-listening-recall-that,class-listening,前にやった〜を思い出してください。,Recall that … ／ Remember from last week …,all,editorial,
class-listening-whats-the-next-step,class-listening,次は何をすればいいですか。,What's the next step? ／ What do I do now? Anybody?,all,editorial,
class-listening-oops-good-catch,class-listening,あ、ここ間違えました。指摘ありがとう。,"Oops, that should be a minus. Good catch. ／ Hang on, let me fix that.",all,editorial,
class-listening-well-come-back-to-this,class-listening,これは後でまたやります。,We'll come back to this later. ／ Hold that thought.,all,editorial,
class-listening-extra-credit,class-listening,これは加点（エクストラクレジット）の問題です。,This one's for extra credit. ／ Bonus question.,all,editorial,
class-listening-lowest-quiz-dropped,class-listening,小テストは一番低い点を成績から除きます。,I'll drop your lowest quiz score. ／ Your lowest quiz grade gets dropped.,all,editorial,
class-listening-final-is-cumulative,class-listening,期末試験は全範囲から出ます。,The final is cumulative. ／ The final covers everything.,all,editorial,
class-listening-office-hours-are,class-listening,オフィスアワーは火曜の 2 時から 4 時です。,My office hours are Tuesdays from 2 to 4. ／ Come see me in office hours.,大学,editorial,
class-listening-raise-your-hand-if,class-listening,5 になった人は手を挙げて。,Raise your hand if you got 5. ／ Thumbs up if you got 5.,all,editorial,
class-listening-lets-go-over-the-homework,class-listening,宿題の答え合わせをしましょう。,Let's go over the homework. ／ Any questions on the homework?,all,editorial,
class-listening-what-do-you-notice,class-listening,何か気づいたことはありますか。,What do you notice? ／ What do you think happens if we make x bigger?,all,editorial,
class-listening-same-idea-as-before,class-listening,これはさっきと同じ考え方です。,This is the same idea as before. ／ It's just like the last problem.,all,editorial,
class-listening-warm-up,class-listening,最初に復習の問題を 1 問やりましょう。,Let's start with a quick warm-up. ／ Do the warm-up on the board.,中1|中2|中3|Pre-Algebra|Algebra 1|Geometry|Algebra 2,editorial,
class-listening-in-your-own-words,class-listening,自分の言葉で説明してみて。,Explain it in your own words. ／ Can you say why that works?,all,editorial,
class-listening-sanity-check,class-listening,その答え、大きさとして妥当ですか。,Does that answer make sense? ／ Let's do a quick sanity check.,all,editorial,
class-asking-where-did-that-come-from,class-asking,その 2 はどこから出てきたんですか。,Where did the 2 come from? ／ How did you get from this line to that one?,all,editorial,
class-asking-why-can-we,class-asking,なぜここで x で割っていいんですか。,Why are we allowed to divide by x here? ／ Why does that work?,all,editorial,
class-asking-how-do-you-read-this,class-asking,この記号は何と読むんですか。,How do you read this symbol? ／ How do you say this out loud? ／ What does this symbol mean?,all,editorial,
class-asking-is-there-a-name-for-this,class-asking,これは英語で何と言いますか。,Is there a name for this? ／ What do you call this in English?,all,editorial,
class-asking-difference-between,class-asking,極大値と最大値の違いは何ですか。,What's the difference between a local max and an absolute max? ／ How is this different from …?,all,editorial,
class-asking-can-i-write-it-this-way,class-asking,こう書いても大丈夫ですか。,Is it okay if I write it like this? ／ Would it also be correct to write …?,all,editorial,
class-asking-does-it-still-work-if,class-asking,x が負のときでもこれは使えますか。,Does this still work if x is negative? ／ What if x is negative?,all,editorial,
class-asking-typo-on-the-board,class-asking,すみません、黒板のそこ、マイナスではないですか。,"Sorry, I think there's a typo — should that be a minus? ／ Is that supposed to be x squared?",all,editorial,
class-asking-go-back,class-asking,前のスライドに戻ってもらえますか。,Could you go back to the previous slide? ／ Can you scroll back up?,all,editorial,
class-asking-slow-down,class-asking,もう少しゆっくりお願いできますか。,Could you go over that a little more slowly? ／ Could you slow down a bit?,all,editorial,
class-asking-i-got-a-different-answer,class-asking,8 になったんですが、どこか間違えていますか。,I got 8 — did I do something wrong? ／ I got a different answer.,all,editorial,
class-asking-which-problems,class-asking,宿題はどの問題ですか。,Which problems are for homework? ／ Was that odds only?,all,editorial,
class-asking-when-is-it-due,class-asking,提出はいつまでですか。,When is it due? ／ Is that due Friday or Monday?,all,editorial,
class-asking-will-this-be-on-the-test,class-asking,これはテストに出ますか。,Will this be on the test? ／ Do we need to know this for the exam?,all,editorial,
class-asking-do-we-need-to-memorize,class-asking,この公式は覚える必要がありますか。,Do we need to memorize this formula? ／ Will we get a formula sheet?,all,editorial,
class-asking-calculator-on-the-test,class-asking,次のテストで電卓は使えますか。,Can we use a calculator on the test? ／ Is the test calculator or non-calculator?,all,editorial,
class-asking-is-there-an-easier-way,class-asking,もっと楽な解き方はありますか。,Is there an easier way to do this? ／ Is there a shortcut?,all,editorial,
class-asking-could-we-use-another-method,class-asking,ここで解の公式を使ってはだめですか。,Couldn't we just use the quadratic formula? ／ Can I use L'Hôpital's rule here instead?,all,editorial,
class-asking-another-example,class-asking,例をもう 1 つやってもらえますか。,Could you do one more example? ／ Can we see another example?,all,editorial,
class-asking-simplify-further,class-asking,これ以上簡単にする必要はありますか。これで答えですか。,"Do we need to simplify further, or is that the final answer? ／ Is that as simple as it gets?",all,editorial,
office-hours-do-you-have-a-minute,office-hours,今少しお時間よろしいですか。,Do you have a minute? ／ Is now a good time?,大学,editorial,
office-hours-question-about-homework,office-hours,宿題の 3 番について質問があって来ました。,I had a question about number 3 on the homework. ／ I wanted to ask about problem 3.,大学,editorial,
office-hours-can-i-show-you-what-i-tried,office-hours,自分でやったところを見ていただけますか。,Can I show you what I tried? ／ Here's what I have so far.,大学,editorial,
office-hours-am-i-on-the-right-track,office-hours,この方針で合っていますか。,Am I on the right track? ／ Is this approach going to work?,大学,editorial,
office-hours-hint-not-the-answer,office-hours,答えではなく、ヒントだけいただけますか。,Could you give me a hint without giving away the answer? ／ Maybe just a nudge in the right direction?,大学,editorial,
office-hours-why-did-i-lose-points,office-hours,ここでなぜ減点されたのか分からなくて。,I'm not sure why I lost points here. ／ Could you explain what was wrong with this?,大学,editorial,
office-hours-regrade,office-hours,この問題の採点をもう一度見ていただけませんか。,Would you mind taking another look at the grading on this problem? ／ I think this might have been graded incorrectly.,大学,editorial,
office-hours-how-to-study,office-hours,中間試験に向けて、どう勉強すればいいでしょうか。,How would you recommend studying for the midterm? ／ What should I focus on for the exam?,大学,editorial,
office-hours-extra-practice,office-hours,追加の練習問題や過去の試験はありますか。,Are there any extra practice problems I could do? ／ Do you have old exams I could practice with?,大学,editorial,
office-hours-understand-in-class-not-alone,office-hours,授業で先生が解くと分かるのに、自分でやると手が止まります。,"I understand it when you do it in class, but I get stuck when I try it on my own.",大学,editorial,
office-hours-intuition,office-hours,計算は追えるのですが、直感的な意味が分かりません。,"I can follow the algebra, but I don't get the intuition behind it. ／ What's the big picture here?",大学,editorial,
office-hours-when-to-use-which,office-hours,置換積分と部分積分、どういうときにどちらを使えばいいですか。,How do I know when to use substitution and when to use integration by parts?,大学,editorial,
office-hours-english-terms-are-new,office-hours,日本語で習ったので、英語の数学用語にまだ慣れていません。,"I learned this in Japanese, so I'm still getting used to the English terms.",大学,editorial,
office-hours-is-this-rigorous-enough,office-hours,この証明、これで十分厳密か見ていただけますか。,Could you look over my proof and tell me if it's rigorous enough? ／ Is this enough justification?,大学,editorial,
office-hours-which-course-next,office-hours,次の学期は線形代数と Calc II のどちらを取るべきでしょうか。,Should I take Linear Algebra or Calc II next semester? ／ Do you think I'm ready for …?,大学,editorial,
office-hours-can-i-come-back,office-hours,まだ分からなかったら、また来てもいいですか。,Is it okay if I come back if I'm still stuck?,大学,editorial,
office-hours-thanks-that-helps,office-hours,ありがとうございます、よく分かりました。,"Thanks, that really helps. ／ That makes a lot more sense now.",大学,editorial,
explaining-solution-overall-plan,explaining-solution,方針としては、まず交点を求めて、それから積分しました。,My plan was to find the intersection points first and then integrate. ／ The idea is to …,all,editorial,
explaining-solution-let-x-be,explaining-solution,長方形の幅を x とおきました。,I let x be the width of the rectangle. ／ I called the width x.,all,editorial,
explaining-solution-set-up-an-equation,explaining-solution,問題の条件から方程式を立てました。,"First I set up an equation from the given information. ／ From the problem, I got 2x + 5 = 17.",all,editorial; PLAN §9 Phase 3,
explaining-solution-isolated-x,explaining-solution,それから x を片方に寄せて解きました。,Then I isolated x. ／ I got x by itself. ／ I solved for x.,all,editorial; PLAN §9 Phase 3,
explaining-solution-plugging-back-in,explaining-solution,元の式に代入すると 17 になるので、合っています。,"Plugging back in gives 17, which checks out. ／ I plugged it back in and it works.",all,editorial; PLAN §9 Phase 3,
explaining-solution-moved-everything-to-one-side,explaining-solution,全部左辺に移項しました。,I moved everything to one side. ／ I brought everything over to the left.,all,editorial,
explaining-solution-factored-and-set-to-zero,explaining-solution,因数分解して、それぞれの因数を 0 とおきました。,I factored it and set each factor equal to zero.,中3|数I|Algebra 1,editorial,
explaining-solution-threw-out-a-solution,explaining-solution,長さは負にならないので、負の解は捨てました。,"I threw out the negative solution because a length can't be negative. ／ x = −3 doesn't make sense here, so I rejected it.",all,editorial,
explaining-solution-used-the-rule,explaining-solution,ここで連鎖律を使いました。,I used the chain rule here. ／ This is where the quadratic formula comes in.,all,editorial,
explaining-solution-multiplied-both-sides,explaining-solution,両辺に x を掛けました。x は 0 ではないので大丈夫です。,"I multiplied both sides by x, which is okay since x isn't zero. ／ I divided both sides by 2.",all,editorial,
explaining-solution-flipped-the-inequality,explaining-solution,負の数で割ったので、不等号の向きを逆にしました。,"I divided by a negative, so I flipped the inequality sign.",中1|Algebra 1,editorial,
explaining-solution-drew-a-picture,explaining-solution,まず図を描きました。,I started by drawing a picture. ／ I sketched the graph to see what was going on.,all,editorial,
explaining-solution-worked-backwards,explaining-solution,示したい式から逆にたどりました。,I worked backwards from what we want to show.,all,editorial,
explaining-solution-the-key-was,explaining-solution,2 つの三角形が相似だと気づくのがポイントです。,The key was noticing that the two triangles are similar. ／ The trick is to see that …,all,editorial,
explaining-solution-thats-where-it-comes-from,explaining-solution,その 2 はここから来ています。,That's where the 2 comes from. ／ The 2 comes from the chain rule.,all,editorial,
explaining-solution-these-cancel,explaining-solution,この項とこの項が打ち消し合います。,These two terms cancel out. ／ Everything in the middle cancels.,all,editorial,
explaining-solution-so-the-answer-is,explaining-solution,なので、答えは 12 です。,So the answer is 12. ／ So I got 12. ／ And that gives us 12.,all,editorial,
explaining-solution-with-units,explaining-solution,速度は毎秒 4 メートルです。,So the velocity is 4 meters per second. ／ The units are meters per second.,all,editorial,
explaining-solution-in-context,explaining-solution,つまり、t = 5 のとき水槽の水は毎分 3 リットルの割合で減っているということです。,"So this means the tank is draining at 3 liters per minute at t = 5. ／ In context, that means …",AP Calculus AB|AP Statistics|数III,"editorial; CED (""in context"")",
explaining-solution-not-sure-about-this-step,explaining-solution,このステップにはあまり自信がありません。,I'm not totally sure about this step. ／ This part might be wrong.,all,editorial,
explaining-solution-let-me-back-up,explaining-solution,ちょっと戻ります。ここで間違えました。,"Wait, let me back up — I made a mistake here. ／ Actually, scratch that.",all,editorial,
explaining-solution-that-cant-be-right,explaining-solution,あれ、おかしい。確率が 1 を超えています。,"Wait, that can't be right — a probability can't be bigger than 1. ／ That doesn't seem right.",all,editorial,
explaining-solution-that-makes-sense,explaining-solution,10 より少し小さいはずなので、妥当な答えです。,"That makes sense, because the answer should be a little less than 10. ／ That seems reasonable.",all,editorial,
