id,ja,ja_alt,en,en_alt,en_variants,pos,unit,domain,level_jp,level_us,mapping,source,wiki_ja,wiki_en,wikidata,ja_basis,ja_check,flag,note
term,項,,term,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikipedia-langlink,項 (論理学),Term (logic),Q1318370,mext,ok,,
fraction,分数,,fraction,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikipedia-langlink,分数,Fraction,Q66055,mext,ok,,
decimal,小数,,decimal,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikipedia-langlink,小数,Decimal representation,Q1376876,mext,ok,,
add,足す,,add,,,verb,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,wiki-disambig,
subtract,引く,,subtract,,,verb,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,減法,Subtraction,Q40754,wikipedia,ok,wiki-redirect,
multiply,掛ける,かける,multiply,,,verb,jp-chuugaku-1-seifu-no-suu|jp-chuugaku-3-tenkai-insuubunkai,arithmetic|algebra,中1|中3,Pre-Algebra|Algebra 1|Integrated Math 1,exact,editorial,乗法,Multiplication,Q40276,wikipedia,ok,wiki-redirect wiki-rejected merged,wiki 除外（数学カテゴリ外）: かける → (en なし)。「かける」は数学カテゴリ配下にない
divide,割る,,divide,,,verb,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,除法,,Q1226939,mext,ok,wiki-redirect,
compute,計算する,,compute,,,verb,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,editorial,,,,editorial,—,wiki-nonmath wiki-rejected,教室では work out / do the arithmetic も ／ wiki 除外（英語照合不一致: 別の記事）: 計算 → Computation ／ en.term → Computing
change-the-sign,符号を変える,,change the sign,,,phrase,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,,
take-the-absolute-value,絶対値をとる,,take the absolute value,,,phrase,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,,
positive,正の,,positive,,,adjective,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,mext,ok,,
negative,負の,,negative,,,adjective,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,mext,ok,,
greater-than,大きい,,greater than,,,adjective,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,editorial,,,,editorial,—,wiki-disambig,数の大小は greater / less
less-than,小さい,,less than,,,adjective,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,wiki-disambig,
is-greater-than,〜より大きい,,is greater than,,,phrase,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,,
greater-than-or-equal-to,〜以上,,greater than or equal to,,,phrase,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,,
less-than-or-equal-to,〜以下,,less than or equal to,,,phrase,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,,
round,四捨五入する,,round,,,verb,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,editorial,,,,editorial,—,wiki-rejected,round to the nearest ten など ／ wiki 除外（英語照合不一致: en.term は曖昧さ回避）: 端数処理 → Rounding ／ en.term → Round
parentheses,かっこ,,parentheses,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,editorial,括弧,Bracket,Q174565,wikipedia,ok,wiki-redirect,英国は brackets。米国では ( ) が parentheses、[ ] が brackets
remove-the-parentheses,かっこを外す,,remove the parentheses,,,phrase,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,editorial,,,,editorial,—,,distribute とも言う
algebraic-expression,文字式,,algebraic expression,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,wiki-redirect wiki-rejected,「文字を使った式」。variable expression とも ／ wiki 除外（別概念）: 多項式 → Polynomial。Polynomial は多項式。文字式は分数式も含む
variable,変数,文字,variable,,,noun,jp-chuugaku-1-moji-to-shiki|jp-chuugaku-1-hirei-hanpirei,algebra|functions,中1,Pre-Algebra|Algebra 1,near,wikipedia-langlink,変数 (数学),Variable (mathematics),Q50701,mext,ok,wiki-rejected merged,「文字」を letter と直訳しない ／ wiki 除外（数学カテゴリ外）: 文字 → Writing system。Writing system（文字体系）
expression,式,,expression,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,wiki-disambig,
coefficient,係数,,coefficient,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,wikidata,係数,,Q50700,mext,ok,,
constant,定数,,constant,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,wikipedia-langlink,定数,Constant (mathematics),Q188248,mext,ok,,
constant-term,定数項,,constant term,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
like-terms,同類項,,like terms,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,mext,ok,,
linear-expression,一次式,,linear expression,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,一次関数,,Q188597,mext,ok,wiki-redirect,
substitution,代入,,substitution,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,wiki-rejected,wiki 除外（英語照合不一致: en.term は曖昧さ回避）: 代入 (論理学) → Substitution (logic) ／ en.term → Substitution
value-of-the-expression,式の値,,value of the expression,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
quantity,数量,,quantity,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,量,,Q309314,mext,ok,wiki-redirect wiki-nonmath,
relationship,関係,,relationship,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,mext,ok,wiki-rejected,wiki 除外（別概念）: 関係 (数学) → Finitary relation。Finitary relation は形式的な関係。中1 の「数量の関係」ではない
equation,方程式,等式,equation,,,noun,jp-chuugaku-1-moji-to-shiki|jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,wikipedia-langlink,方程式,Equation,Q11345,mext,ok,merged reviewed-30,「等式」と「方程式」は米国では区別せず equation
inequality,不等式,,inequality,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,wikidata,不等式,,Q28113351,mext,ok,,
left-hand-side,左辺,,left-hand side,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
right-hand-side,右辺,,right-hand side,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
both-sides,両辺,,both sides,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
equal-sign,等号,,equal sign,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,wikidata,等号,,Q214796,wikipedia,ok,,
inequality-sign,不等号,,inequality sign,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,wikidata,不等号,,Q53045737,wikipedia,ok,,
unit,単位,,unit,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,wiki-disambig,
rate,割合,,rate,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,near,wikidata,割合,,Q1144560,mext,ok,,proportion / percentage も文脈で
percent,百分率,,percent,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,パーセント,Percentage,Q11229,wikipedia,ok,wiki-redirect,
speed,速さ,,speed,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,near,wikipedia-langlink,速さ,Speed,Q3711325,wikipedia,ok,,物理では velocity。文章題では speed / rate
time,時間,,time,,,noun,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,wikipedia-langlink,時間,Time,Q11471,mext,ok,,
write-using-a-variable,文字を使って表す,,write using a variable,,,phrase,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,write an expression for
simplify-the-expression,式を簡単にする,,simplify the expression,,,phrase,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
combine-like-terms,同類項をまとめる,,combine like terms,,,phrase,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
evaluate,値を求める,式を評価する,evaluate,,,verb,jp-chuugaku-1-moji-to-shiki|us-pre-algebra-expressions-and-equations,algebra,中1,Pre-Algebra|Algebra 1,near,textbook,,,,mext,ok,merged,evaluate the expression when x = 2 ／ 「式の値を求める」の米国側の定番動詞
set-up-an-equation,式を立てる,,set up an equation,,,phrase,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,write an equation
represent,表す,,represent,,,verb,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,mext,ok,,
let-x-be,〜を x とする,,let x be,,,phrase,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
times,〜倍,,times,,,phrase,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,three times as many
omit,省略する,,omit,,,verb,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,wiki-rejected,"乗法記号の省略は ""we drop the multiplication sign"" ／ wiki 除外（数学カテゴリ外）: 省略 → (en なし)。「省略」は数学カテゴリ配下にない"
in-order,順に,,in order,,,phrase,jp-chuugaku-1-moji-to-shiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,mext,ok,,
linear-equation,一次方程式,,linear equation,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,wikidata,一次方程式,,Q484637,mext,ok,,
solution,解,,solution,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,wiki-disambig,
solve,解く,,solve,,,verb,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,mext,ok,,
checking-the-solution,解の確かめ,,checking the solution,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,check your answer / plug it back in
moving-a-term-to-the-other-side,移項,,moving a term to the other side,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,等式,,Q842346,mext,ok,wiki-redirect,STYLE: 名詞 transposition は載せない
properties-of-equality,等式の性質,,properties of equality,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,mext,ok,,
ratio,比,,ratio,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,wikipedia-langlink,比,Ratio,Q3481047,wikipedia,ok,,
value-of-a-ratio,比の値,,value of a ratio,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,mext,ok,,米国では単に the ratio。1 語の対応なし
proportion,比例式,,proportion,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,wikidata,比例式,,Q2631509,mext,ok,reviewed-30,米国の proportion は「比が等しい式」a:b = c:d
solve-a-proportion,比例式を解く,,solve a proportion,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,mext,ok,,
product-of-the-means,内項の積,,product of the means,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,米国では cross products として教える
product-of-the-extremes,外項の積,,product of the extremes,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,同上
cross-multiply,内項と外項の積は等しい,,cross multiply,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,米国では「たすきに掛ける」操作として言う
word-problem,文章題,,word problem,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,wikipedia-langlink,文章題,Word problem (mathematics education),Q255912,wikipedia,ok,,
unknown,未知数,,unknown,,,noun,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,wiki-rejected,wiki 除外（英語照合不一致: en.term は曖昧さ回避）: 変数 (数学) → Variable (mathematics) ／ en.term → Unknown
add-the-same-number-to-both-sides,両辺に同じ数を足す,,add the same number to both sides,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
divide-both-sides-by,両辺を〜で割る,,divide both sides by,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
multiply-both-sides-by,両辺に〜を掛ける,,multiply both sides by,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
subtract-from-both-sides,両辺から〜を引く,,subtract from both sides,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
satisfy-the-equation,方程式を満たす,,satisfy the equation,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
hold,成り立つ,,hold,,,verb,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,mext,ok,,「等式が成り立つ」は the equation holds / is true
has-exactly-one-solution,解が一つに決まる,,has exactly one solution,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
find,求めよ,,find,,,verb,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,問題文の指示語。Find / Solve for x
check,確かめる,,check,,,verb,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,mext,ok,,
simplify,簡単にする,整理する|単純化する,simplify,,,verb,jp-chuugaku-1-ichiji-houteishiki|jp-chuugaku-3-heihoukon|us-pre-algebra-expressions-and-equations,algebra|arithmetic,中1|中3,Pre-Algebra|Algebra 1|Integrated Math 2,near,textbook,,,,mext,alt:整理する,merged,「式を整理する」は simplify / collect terms ／ simplify the radical
clear-the-denominators,分母を払う,,clear the denominators,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,multiply through by the LCD
clear-the-fractions,係数を整数にする,,clear the fractions,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,
work-backwards,逆算する,,work backwards,,,phrase,jp-chuugaku-1-ichiji-houteishiki,algebra,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
function,関数,,function,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,wikipedia-langlink,関数 (数学),Function (mathematics),Q11348,mext,ok,,
direct-proportion,比例,,direct variation,direct proportion,directly proportional@both,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,near,wikipedia-langlink,比例,Proportionality (mathematics),Q51379,mext,ok,reviewed-30,米国では direct variation。y varies directly with x
inverse-proportion,反比例,,inverse proportion,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,near,wikipedia-langlink,反比例,Proportionality (mathematics),Q1091245,mext,ok,,inverse variation。y varies inversely with x
constant-of-proportionality,比例定数,,constant of proportionality,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,near,editorial,比例,Proportionality (mathematics),Q51379,wikipedia,ok,wiki-redirect,constant of variation とも
domain-and-range,変域,定義域と値域,domain and range,,,noun,jp-chuugaku-1-hirei-hanpirei|us-algebra-1-linear-functions,functions,中1,Pre-Algebra|Algebra 1,near,textbook,,,,mext,ok,merged reviewed-30,「変域」は x の変域（domain）と y の変域（range）を区別せず使う。米国は必ず区別する
coordinates,座標,座標の考え方,coordinates,,,noun,jp-chuugaku-1-hirei-hanpirei|jp-suugaku-a-suugaku-to-ningen-no-katsudou,functions|number-theory,中1|数A,Pre-Algebra|Algebra 1|Discrete Math,exact,wikipedia-langlink,座標,Coordinate,Q3250736,mext,ok,merged,
coordinate-plane,座標平面,,coordinate plane,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,直交座標系,Cartesian coordinate system,Q62912,mext,ok,wiki-redirect,
x-coordinate,x 座標,,x-coordinate,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
y-coordinate,y 座標,,y-coordinate,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
x-axis,x 軸,,x-axis,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
y-axis,y 軸,,y-axis,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
coordinate-axes,座標軸,,coordinate axes,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,wikipedia-langlink,座標軸,Coordinate axis,Q1783819,wikipedia,ok,,
quadrant,象限,,quadrant,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,wikidata,象限,,Q2714507,wikipedia,ok,,
graph,グラフ,,graph,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,wikipedia-langlink,グラフ (離散数学),Graph (discrete mathematics),Q141488,mext,ok,,
hyperbola,双曲線,,hyperbola,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,wikipedia-langlink,双曲線,Hyperbola,Q165301,mext,ok,,
plot-a-point,点をとる,,plot a point,,,phrase,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
read-the-graph,グラフを読み取る,,read the graph,,,phrase,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
is-proportional-to,〜に比例する,,is proportional to,,,phrase,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,varies directly with
is-inversely-proportional-to,〜に反比例する,,is inversely proportional to,,,phrase,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,near,editorial,,,,editorial,—,,varies inversely with
correspond,対応する,,correspond,correspond to [chuugaku-2-heikou-to-goudou],,verb,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,ja-merged wiki-rejected,wiki 除外（英語照合不一致: ja 記事に en 版なし）: 対応 (数学) → (en なし) ／ en.term → (記事なし)
increase,増加する,,increase,,,verb,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,wiki-rejected,wiki 除外（英語照合不一致: en.term は曖昧さ回避）: 単調写像 → Monotonic function ／ en.term → Increase
decrease,減少する,,decrease,,,verb,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,wiki-rejected,wiki 除外（英語照合不一致: 別の記事）: 単調写像 → Monotonic function ／ en.term → Decrease
is-constant,一定である,,is constant,,,phrase,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
pass-through-the-origin,原点を通る,,pass through the origin,,,phrase,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
plotting,点をとる操作,,plotting,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
table,表,,table,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,wiki-disambig,
table-of-values,対応表,,table of values,,,noun,jp-chuugaku-1-hirei-hanpirei,functions,中1,Pre-Algebra|Algebra 1,exact,editorial,,,,editorial,—,,
