id,ja,en,pos,unit,level_jp,level_us,from,note
find-the-pattern,規則性を見つける,find the pattern,phrase,jp-suugaku-b-suuretsu,数B,Algebra 2|Precalculus,,
squares-are-nonnegative,実数の平方は 0 以上,squares are nonnegative,phrase,jp-suugaku-2-shiki-to-shoumei,数II,Algebra 2|Precalculus,,
take-the-difference-of-the-two-sides,両辺の差をとる,take the difference of the two sides,phrase,jp-suugaku-2-shiki-to-shoumei,数II,Algebra 2|Precalculus,,subtract the right side from the left
left-side-minus-right-side,左辺 − 右辺,left side minus right side,phrase,jp-suugaku-2-shiki-to-shoumei,数II,Algebra 2|Precalculus,,
form-the-difference,差を作る,form the difference,phrase,jp-suugaku-2-shiki-to-shoumei,数II,Algebra 2|Precalculus,,
the-equation-holds,式が成り立つ,the equation holds,phrase,jp-suugaku-2-shiki-to-shoumei,数II,Algebra 2|Precalculus,,
what-we-want-to-show,示すべき式,what we want to show,phrase,jp-suugaku-2-shiki-to-shoumei,数II,Algebra 2|Precalculus,,"答案の書き出し ""We want to show that"""
involves-imaginary-numbers,虚数を含む,involves imaginary numbers,phrase,jp-suugaku-2-fukusosuu-to-houteishiki,数II,Algebra 2|Integrated Math 3,,
one-of-the-solutions-is,解の 1 つが,one of the solutions is,phrase,jp-suugaku-2-fukusosuu-to-houteishiki,数II,Algebra 2|Integrated Math 3,,
the-other-solutions,残りの解,the other solutions,phrase,jp-suugaku-2-fukusosuu-to-houteishiki,数II,Algebra 2|Integrated Math 3,,
as-p-moves,点 P が動く,as P moves,phrase,jp-suugaku-2-zukei-to-houteishiki,数II,Geometry|Precalculus,,as P varies
conversely,逆に,conversely,phrase,jp-suugaku-2-zukei-to-houteishiki,数II,Geometry|Precalculus,,
relation-between-x-and-y,"x, y の関係式",relation between x and y,noun,jp-suugaku-2-zukei-to-houteishiki,数II,Geometry|Precalculus,,
rewrite-the-expression,式を変形する,rewrite the expression,phrase,jp-suugaku-2-sankaku-kansuu,数II,Algebra 2|Precalculus,,
on-the-interval-from-0-to-2,0 ≦ θ < 2π の範囲で,on the interval from 0 to 2π,phrase,jp-suugaku-2-sankaku-kansuu,数II,Algebra 2|Precalculus,,wiki 除外（数学カテゴリ外）: 0 ≦ θ < 2π の範囲で → (en なし)。「0 ≦ θ < 2π の範囲で」は数学カテゴリ配下にない
the-value-of-sine-theta,sin θ の値が,the value of sine theta,phrase,jp-suugaku-2-sankaku-kansuu,数II,Algebra 2|Precalculus,,
the-base-is-greater-than-1,底が 1 より大きい,the base is greater than 1,phrase,jp-suugaku-2-shisuu-taisuu,数II,Algebra 2|Precalculus,,
the-domain-is-the-positive-reals,定義域は正の実数,the domain is the positive reals,phrase,jp-suugaku-2-shisuu-taisuu,数II,Algebra 2|Precalculus,,
split-at-the-median,中央値で分ける,split at the median,phrase,jp-chuugaku-2-data-no-katsuyou,中2,Algebra 1,,
evaluate-critically,批判的に考察する,evaluate critically,phrase,jp-chuugaku-2-data-no-katsuyou,中2,Algebra 1,,統計的探究の言い方
organize-the-data,データを整理する,organize the data,phrase,jp-suugaku-1-data-no-bunseki,数I,Algebra 1|AP Statistics,,
probabilities-sum-to-1,確率の合計は 1,probabilities sum to 1,phrase,jp-suugaku-b-toukei-teki-na-suisoku,数B,AP Statistics|Intro Statistics,,
using-real-numbers-s-and-t,"実数 s, t を用いて",using real numbers s and t,phrase,jp-suugaku-c-vector,数C,Precalculus|Calculus III,,
let-p-be-the-position-vector-of-p,点 P の位置ベクトルを p とする,let p be the position vector of P,phrase,jp-suugaku-c-vector,数C,Precalculus|Calculus III,,
express-as-a-vector,ベクトルで表す,express as a vector,phrase,jp-suugaku-c-vector,数C,Precalculus|Calculus III,,
organize-in-a-table,表に整理する,organize in a table,phrase,jp-suugaku-c-hyougen-no-kufuu,数C,Precalculus|Linear Algebra,,
represent-with-a-graph,グラフで表す,represent with a graph,phrase,jp-suugaku-c-hyougen-no-kufuu,数C,Precalculus|Linear Algebra,,
checking-conditions,条件の確認,checking conditions,noun,us-ap-statistics-3-inference-for-proportions,数B,AP Statistics,,検定の前提条件を確認する手順
